Name,Connections
GLADIATOR/MELVIN POT,54
WHITEOUT,54
BLOCKBUSTER III/MICH,54
MAJOR DOMO,54
"MCCABE, LINDSAY",54
"COLLINS, DEMITRIUS",54
"COY, GENERAL NGUYEN ",54
CAPTAIN AMERICA | MU,54
RECORDER II,54
BOX/ROGER BOCHS,54
"RASPUTIN, MIKHAIL",54
"GREY, JEAN | MUTANT ",54
BIG BERTHA/ASHLEY CR,54
SPIDERCIDE,54
"CLINTON, BILL",54
TRITON DOPPELGANGER,54
AURIC/,54
MANBOT/BERNIE LACHEN,54
"CHEKOV, ARTHUR ANTON",54
"INSHALLAH, KHALID",54
SURTUR,54
MALICE IV,54
POSITRON/RONNIE,53
MICROMAX/SCOTT WRIGH,53
DRAX DOPPELGANGER,53
GOLDEN ARCHER II/WYA,53
SHATTERAX,53
ERIC THE RED [SHI'AR,53
FER DE LANCE/TERESA,53
GREMLIN/,53
GRIFFIN II/JOHNNY HO,53
"WOLFE, SARA",53
MAGIC,53
"CHANG, IMEI",53
RAVONNA LEXUS RENSLA,53
"FIELSTEIN, FIREWORKS",53
"WHYTE, HARMONY (HARM",53
DORMA [ATLANTEAN],53
"FUJIKAWA, RUMIKO",53
ZARAN/MAXIMILLIAN ZA,53
BRIGHTSWORD/CARTER D,53
"ADAMS, NICOLE NIKKI",53
OKOYE,53
"FORTUNATO, GIACOMO J",53
LLYRON,53
EXPEDITER II/ZOE CUL,52
FLATMAN,52
ZURI,52
"STAPLES, EDNA M. GRA",52
LOOTER/NORTON G. FES,52
SWORDSMAN II/COTATI,52
MISS LOCKE,52
THUMBELLINA,52
QUASAR II,52
"KILLMONGER, ERIC/N'J",52
BARON MORDO/KARL MOR,52
HAYWIRE/,52
BLACK FOX/ROBERT W. ,52
DR. DOOM | MUTANT X-,52
UNION JACK II/BRIAN ,52
QUICKSILVER | MUTANT,52
BRAIN DRAIN/WERNER S,52
LUPO,52
"FLORES, JAMIE",52
"CREED, GRAYDON",51
EGGHEAD/PROF. ELIHAS,51
STILETTO,51
ATHENA [GREEK GOD],51
BOOMSLANG/,51
PIXIE/ [ETERNAL],51
"WETHERELL, MANOLI",51
"STUART, BRIG. ALYSAN",51
APOLLO [GREEK GOD],51
QUASIMODO,51
TECH-NOIR/,51
TINKERER,51
PARIS,51
"STERMAN, ANDREA ANDI",51
ANCIENT ONE,51
UMAR,51
"ALRAUNE, MARLENE",51
"ALEXANDER, CARRIE",51
UNUS THE UNTOUCHABLE,50
UNION JACK III/JOEY ,50
"GLENN, HEATHER",50
"NORRISS, JACK",50
BARBARUS,50
OXBOW/,50
MARVEL WOMAN | MUTAN,50
MILAN,50
TYR,50
MONGOOSE,50
CHAMPION/TRYCO SLATT,50
"ZIMMER, ABE",50
AHAB/RORY CAMPBELL,50
ATALANTA,50
ERG,50
ARAKI [SHI'AR],50
CALEDONIA/ALISANDE S,50
"DIAMOND, BOB",50
PHOBIUS,50
DELPHI,50
"SONDHEIM, ERICA",49
TRUTH,49
YELLOWJACKET II | MU,49
HARVEST/CHI LO,49
SOLO/,49
"YASHIDA, MARIKO | MU",49
"TORK, SGT.",49
"NELSON, DEBBIE HARRI",49
BLACK KNIGHT/SIR PER,49
SATANNISH,49
JETSTREAM/HAROUD IBN,49
BLACK WIDOW DOPPELGA,49
BLACKOUT/MARCUS DANI,49
CHINA DOLL,49
WEAPON X II/GARRISON,49
WAXWORK,49
PARALYZER,49
"DAMIAN, MARGO",48
SCRAMBLER,48
GAZA,48
DEFENSOR,48
TYPHOID MARY/MARY ME,48
ICEMASTER/,48
CAPTAIN HAWK,48
DREADKNIGHT/BRAM VEL,48
FALLEN | MUTANT X-VE,48
STEEL WIND,48
"STARK, MORGAN",48
"LOCKLIN, GENERAL MER",48
PUDDLEGULP,48
"ROSEN, WALTER",48
"DELPHIS, SIR",48
TEFRAL,48
THUG,48
FIREBUG/,47
BULLSEYE II/BENJAMIN,47
MARILLA [INHUMAN],47
BUCKY VII/RIKKI BARN,47
TITANIUM MAN/BORIS B,47
"BROWN, MINDY MCPHERS",47
PIPER,47
FORTUNATO,47
"MEACHUM, JOY",47
"SMITH, MARTY LOUIS L",47
"ERWIN, MORLEY",47
PINK PEARL/,47
TAI II,47
W'KABI,47
GAMBIT | MUTANT X-VE,47
RAX,47
COPPERHEAD III/DAVIS,47
QUAGMIRE,47
"JOYCE, SAMANTHA",47
KAMIKAZE,47
EFFIGY/LT. VELMAX/JA,47
JAILBAIT/JESS,46
ANTHROMORPHO,46
SINEW/,46
"MAXWELL, DR. WILFRED",46
"ALVAREZ, FELIX",46
"MAGRUDER, ALLIE",46
"KANE, MARCY/KAINA",46
TRITON DOPPELGANGER ,46
MR. IMMORTAL,46
KHORYPHOS [ETERNAL],46
MR. JUSTICE/TIMOTHY ,46
ZEMO/BARON HEINRICH ,46
NOVA DOPPELGANGER II,46
"KRAMER, STACEY",46
BLOODLUST,46
ONEG,46
DRACULA | MUTANT X-V,46
"RITTER, DEBORAH ",46
FANDRAL | MUTANT X-V,46
DR. OCTOPUS II/CAROL,46
STROBE/,46
"RIDER, GLORIA",46
PHASTOS [ETERNAL],46
SCARLET CENTURION,46
X-CUTIONER/CARL DENT,45
YRDISIS,45
RIPTIDE,45
AGAMEMNON III/,45
ZALADANE,45
DOMINA,45
"JONES, JANIS",45
"JONES, HUGH",45
REPTYL,45
JEMIAH,45
AQUARIAN/WUNDARR,45
"ROTH, ARNIE",45
GAFF/SIDNEY E. LEVIN,45
"MAJOWSKI, SAM MOTHER",45
IRON CROSS/HELMUT GR,45
"RITTER, DONALD",45
TEMPO,45
MASTER MAN/WILHELM L,45
DELILAH,45
HIJACKER,45
HERMOD [ASGARDIAN],45
OVERMIND/GROM,45
HECTOR II,45
BLACK KNIGHT V STATU,45
BEYONDER | MUTANT X-,45
OWL/LELAND OWLSLEY,45
BLACK RACER/,45
"PALERMO, HARRIET ROS",45
"LELAND, HARRY",44
LEONUS/LIONUS [INHUM,44
EMPATH/MANUEL ALFONS,44
"ROGERS, GAYLE",44
"KRUMA, TALIA",44
ROGUE | MUTANT X-VER,44
3-D MAN/CHARLES CHAN,44
FONTANELLE/GLORIA DA,44
PROJECTOR/,44
"RIDER, CHARLES",44
JOYBOY,44
"MORRELL, SABRINA",44
HATE,44
FIREBRAND/GARY GILBE,44
MISS MASS/,44
DORREK [SKRULL],44
MADAME MASQUE III,44
POLARIS | MUTANT X-V,44
GAIA,44
KNOCKOUT,44
AEGIS/TREY ROLLINS,44
TARBABY,44
TWO-GUN KID,44
"THOMAS, ROY",44
"STACY, PAUL",44
THAKOS,44
AMPHIBIAN/KINGLEY RI,44
VENUS/APHRODITE/VICT,44
COACHWHIP,44
APE/,44
"BUSHKIN, BARNEY",44
SILVER SCORPION/ELIS,44
"TAYLOR, LEILA",44
ARCADIUS,44
ADORA,44
"NALES, DET. REBECCA ",43
NORTHSTAR DOPPELGANG,43
EITRI,43
METEORITE,43
UNICORN/MYLOS MASARY,43
"BLAKE, BECKY",43
VAMP,43
MOONSTONE/LLOYD BLOC,43
"COCKRUM, DAVE",43
MAGUS II,43
CYBER,43
"KING, HANNIBAL/HENRY",43
"SHINSKI, PROFESSOR W",43
KYLUN/COLIN MCKAY,43
HILDEGARDE [ASGARDIA,43
"MONGRAIN, ALISON",43
ASHEMA [CELESTIAL],43
"CHANG, DR. PHILLIP",43
FREE SPIRIT/CATHY WE,43
U-MAN/MERRANO,43
SILVER,43
ULTIMUS,43
MALICE III,43
TEN FOR,43
"PEARSON, MARCY",43
HELIX/RAFAEL CARAGO,43
WARRIOR WOMAN/JULIA ,43
TAGAR,43
"STOCKBRIDGE, CHARLES",43
"RAHN, TAMARA",43
PLAGUE,43
FRIDAY,42
MANDRILL/HENSLEY FAR,42
PURPLE MAN/ZEBEDIAH ,42
"PEREZ, GEORGE",42
IMPALA/,42
PUCK DOPPELGANGER,42
TATSU'O,42
"JONES, LORRAINE LORR",42
BLITZIANA,42
"NEWELL, DIANE ARLISS",42
MARVEL GIRL II/VALER,42
TIMESLIP/RINA PATEL,42
GLABOO,42
DECAY/,42
"TAKACHIHO, HIRO",42
IRON MAIDEN/,42
"CICERO, CAESAR BIG C",42
BLIZZARD II/DONALD G,42
"WOO, JIMMY",42
"CHURCHILL, LORD",42
GEMINI/JOSHUA LINK,42
GAUNT/MENDEL STROMM,42
IRON,42
"STACY, CAPT. GEORGE",42
"TREVANE, DET. CONNOR",42
KALA,42
BATTLEAXE/,42
MORGAN,42
"KINGSLEY, DANIEL",42
CONSUELA,42
EELAK,42
CALCULUS/JAHAHAREL P,42
ICE PRINCESS/,41
FIREWALL/THEARY/MIN ,41
RUNNER,41
"NEVILLE, KATE",41
NEUTRON,41
"PLUNDER, ADAM KYLE M",41
"ANDERSSEN, TANYA",41
JACK FLAG/,41
MINERVA [KREE],41
MISS AMERICA/MADELIN,41
TOPAZ,41
MATHEMANIC/THOMAS SO,41
"FISK, VANESSA",41
TOM THUMB/THOMAS THO,41
TOLLIVER,41
DOLLAR BILL,41
"PALERMO, VICTOR",41
SATAN/MARDU KURIOS,41
"BADALAMENTE, JESUS",41
BLACK TARANTULA II/C,41
SOPHIE,41
HARNESS/ERIKA BENSON,41
"BLAZE, ROXANNE SIMPS",41
NOVA | MUTANT X-VERS,41
"RAYMOND, ANN",41
ION/,41
DAN-FARR,41
GROWING MAN,41
SPACE PHANTOM,41
NIGHTSIDE,41
HOTSHOT/LOUIS,41
COURIER/JACOB GAVIN,40
DISCUS,40
"EDGERTON, GAYLE",40
CARNAGE/CLETUS KASAD,40
"BLESSING, MORGANA",40
NOBILUS,40
NUMBERS,40
SIGYN,40
YUKIO,40
GOLDFIRE/AMEIKO SABU,40
PROFESSOR POWER/ANTH,40
FIN FANG FOOM/MIDGAR,40
VERMIN/EDWARD WHELAN,40
QUASAR DOPPELGANGER,40
"JOSHUA, DR. SEGISMUN",40
SPIDER-MAN III/MARTH,40
MR. JIP,40
GULLIN,40
TAURUS/CORNELIUS VAN,40
WIPEOUT,40
BETA RAY BILL | MUTA,40
"HALE, JONAS",40
BARON BLOOD/JOHN FAL,40
DRAGONESS,40
SPROCKET,40
BILE/,40
BLACK CROW/JESSE BLA,40
WRANGLER/,40
"BUSH, GEORGE",40
"LACOSTE, RAE",40
STELLARIS/LEAH PRINC,40
"IONELLO, JASON",39
TARGON,39
BODYBAG,39
DOMO,39
BLACKBALL,39
"ZOTA, CARLO",39
GARGOYLE | MUTANT X-,39
"MOREAU, DAVID",39
YMIR,39
WONDER MAN DOPPELGAN,39
"POTTER, BETSY BEATTY",39
"ADAMS, CINDY",39
"BLAIRE, CARTER",39
CANDY,39
"BROWN, LAURA",39
HAFNIUM,39
LIVING LASER/ARTHUR ,39
OBLIVION,39
AHURA,39
CHESBRO,39
EGO-PRIME,39
"SHELDON, PHIL",39
BEETLE II/LEILA DAVI,39
"WU, LEIKO",39
ELSIE DEE,39
WHIPLASH II/,39
NEOPHYTE/,39
"WILKS, SHANTAL",39
"MARRS, DESMOND",39
BI-BEAST II,39
SPOOR/ANDREW HAMISH ,39
"STACY, GWEN (CLONE)",39
RED GUARDIAN II/ALEX,39
OMNIBUS/LT. DALLAS,39
MANIKIN/DR. WHITMAN ,39
WOODGOD,38
"ASTROVIK, NORMA",38
SILVER SURFER DOPPEL,38
KOFI [KYMELLIAN],38
RANDOM II/MARSHALL E,38
SILVER II,38
MALEKITH/MALCOLM KEI,38
GARDENER/ORD ZYONYZ ,38
ATLAS,38
CARDIAC/DR. ELI WIRT,38
"MILLER, FRANK",38
THERAK,38
"MALUS, DR. KARL",38
FLAG-SMASHER,38
"LEBEAU, JEAN-LUC",38
STINGRAY | MUTANT X-,38
BLACKOUT II/,38
"DOLAN, STACY",38
D'KEN [SHI'AR],38
"HIGGINS, SAMUEL",38
STALLIOR,38
SENYAKA,38
STUNNER/ANGELINA BRA,38
GRIS-GRIS,38
PUPPY,38
SCARLET WITCH DOPPEL,38
MYSTERIA/,38
"NORTH, DAKOTA",38
"CODY, GARY",38
SLUG/ULYSSES X. LUGM,38
UNION JACK/LORD MONT,38
SHARD,38
KRAVEN THE HUNTER II,38
HUGIN,38
"TREMONT, JONATHAN",38
SUPREMOR,38
STATIC,38
"MEACHUM, WARD",37
"BRICKMAN, SEN. MILES",37
"WILFORD, ELISABETH B",37
FURGAR,37
"MORGAN, JERROLD JERR",37
ADVERSARY,37
"SMYTHE, ALISTAIR ALP",37
VALKIN,37
"JACKSON, CURTISS",37
MR. NACHT,37
"FREEMAN, DEREK",37
RANDI,37
CADUCEUS,37
"CARTER, JIMMY",37
BIRD MAN/HENRY HAWK,37
"SHERIDAN, RICHARD RI",37
RINGTOSS,37
LORELEI,37
HAROKIN [ASGARDIAN],37
ANNALEE,37
CAPRICORN/WILLARD WE,37
HOUND,37
MOTHER SUPERIOR,37
BLACK TALON II/SAMUE,37
CHIEF EXAMINER,37
"FARREL, MIKE",37
"RIDER, ROBERT ROBBIE",37
URANIUM,37
"BROMWELL, DR.",37
MASTER KHAN/TYRONE K,37
MARTHA,37
DIRT NAP,37
LOVE,37
WARTON/WARBECK,37
"HUXLEY, DR. HORATIO",37
SCORPIO/JAKE FURY,37
TAGAK,37
"JONES, BART",37
FANG II,37
ANAK,37
"ISHIMA, DAVID",37
TYGER TIGER/JESSAN H,37
"LOBO, EDUARDO",37
"POWELL, GRACE",37
"BROWN, ABE",36
FERRIS,36
STRONGARM/,36
DESIGNATE/TARENE,36
BRUTACUS,36
TANTE MATTIE,36
PORCAL,36
ARIES II/GROVER RAYM,36
WIZ KID/TAKESHI MATS,36
"CASSADA, ROSA",36
"JONES, DANIEL DANNY",36
BUCKY VI/,36
PRETTY PERSUASIONS/H,36
APE MAN/GORDON MONK ,36
"MARTIN, TERI",36
MROTH,36
KINGO SUNEN [ETERNAL,36
CHLORINE,36
SASQUATCH II,36
MARVEL GIRL DOPPELGA,36
MARVEL BOY VI,36
NIELS,36
"BALDWIN, JUSTIN",36
"ACHEBE, REVEREND DOC",36
"BALE, EMERSON",36
NURO,36
MAYHEM/DET. BRIGID O,36
VYREK,36
MELLENCAMP,36
FROG MAN/FROG LE BLA,36
MONDO II,36
NEBULON,36
"MANH, COY NGA",36
TOWER,36
"RORY, RICHARD",36
"MCKEEVER, TINY",36
MUNIN,36
BEREET,35
KRANG [ATLANTEAN],35
GUNTHAR II,35
STORM DOPPELGANGER,35
FATH,35
HRIMHARI,35
"DARE, KATHLEEN",35
STRONG GUY | MUTANT ,35
BLACK KNIGHT IV DOPP,35
"CONNORS, BILLY",35
"STARR, TRIXIE TRISH",35
MAVERICK/CHRISTOPHER,35
CARNIVORE/COUNT ANDR,35
HERA/AUGUSTINE JONES,35
EMPRESS R'KILL [SKRU,35
"STANE, OBADIAH",35
BANSHEE II,35
"VAZHIN, ALEXEI MIKHA",35
"NELSON, CANDACE",35
SUB-MARINER | MUTANT,35
GREENSONG,35
"CARRADINE, JESSICA J",35
"CONNORS, MARTHA",35
"FROST, ADRIENNE",35
CHANGELING,35
"BOWEN, FATHER MICHAE",35
JINKU,35
BLUE SHIELD/JOSEPH J,35
"ROSSI, COL. MICHAEL ",35
BOUNTY II,35
BEEFER,35
CARINA/CARINA WALTER,35
"MARTINELLI, VINCENT ",35
"RAMBEAU, FRANK",35
"CARLISLE, PHILLIP",35
LEIR,35
TERRAXIA,35
"KOENIG, ERIC",35
ALCHEMY/THOMAS JONES,35
IMPULSE II/DWIGHT HU,35
CHEN,35
"MANH, COY LEONG XUI",34
"DELGADO, FATHER",34
ZEFRA,34
SMUGGLER II/CONRAD J,34
"FITZROY, TREVOR",34
VIRGO/ELAINE MCLAUGH,34
NANNY II,34
"ERWIN, CLYTEMNESTRA",34
JADE DRAGON/DEI GUAN,34
QUESTA,34
"HADDOCK, DR. MYRA",34
"WILFORD, BONNIE",34
"MACKENZIE, AL",34
CABER,34
KUKULCAN/VIRAKO/QUET,34
"MORLAK, MARIS",34
BUCKY II/FRED DAVIS,34
"MAXIMOFF, DJANGO",34
CERBERUS,34
"BEL-DANN, GEN.",34
"HORTON, PROFESSOR PH",34
SCANDIUM,34
UROC,34
MAGNUS,34
"KETCH, DORIS AUDRA",34
PREYY,34
FAYRELYTE STRONGHEAR,34
AGINAR,34
"RICHARDS, FRANKLIN 2",34
HAWKSHAW,34
BELASCO,34
TATTERDEMALION/,34
"ST. LAWRENCE, COL. C",34
MADAME WEB/CASSANDRA,33
"QUINN, ASHLEY",33
RAMPAGE/STUART CLARK,33
BEDLAM II/OLISA KABA,33
DR. OCTOPUS | MUTANT,33
ZON,33
SILVER SURFER IMPOST,33
ACHILLES II/HELMUT,33
KORATH THE PURSUER,33
PERUN,33
"CAESAR, JONATHAN",33
SCRIER II/,33
LEFT HAND/DIEGO CASS,33
ALBERT,33
OSIRIS,33
AURA/ANN HERD,33
PLUNDERER/LORD EDGAR,33
"NEWMARK, LOTUS",33
SNAPDRAGON/SHEOKE SA,33
ARMADILLO/ANTONIO RO,33
NETWORK NINA,33
CLOUD,33
"GARVIN, GEARS",33
WORM,33
FLY,33
PULSSUS,33
SHALLA BAL II,33
CUT,33
KILLER SHRIKE/SIMON ,33
"BYRD, SEN. HARRINGTO",33
PIECEMEAL/GILBERT BE,33
"LOCKE, DR. CASSANDRA",33
SENTRY 459,33
GREEN GOBLIN V/,33
"MCCOY, EDNA ANDREWS",33
MINDBLAST,32
OVERRIDE/DR. GREGORY,32
"HATCHWAY, VERNON",32
THANE ECTOR,32
MAN-SPIDER | MUTANT ,32
"AUTHIER, POLICE CHIE",32
M'DAKA,32
"ATOR, GENERAL",32
GHOST GIRL II/LILLI,32
"O'NEILL, DET. BRADY",32
NEREEL,32
BIG MAN/FREDERICK FO,32
AQUARIUS/DARREN BENT,32
EIGHTBALL,32
BAMBI,32
WHITE WOLF/HUNTER,32
HESCAMAR/MARNOT [ASG,32
BENGAL/,32
THORNN,32
FANTASMA,32
BARNACLE/,32
THRENODY,32
GENESIS/TYLER DAYSPR,32
"POWELL, JONATHAN",32
METEORITE III/VALERI,32
BUG,32
"BEACH, GINGER",32
"SOFEN, KARL AUGUST",32
SHADOWCAT 2013,32
WILL O' THE WISP/JAC,32
ROOTAR,32
DR. SPECTRUM II/DR. ,32
"CLARK, SARAH",32
"SLOAN, DR.",32
"LOCKE, DR. ALEXANDER",32
JONIN,32
SCREAM,32
KID COLT,32
"WILLIAMS, MINDY",32
CYCLONE,32
"DA COSTA, EMMANUEL",32
TURBO II (B)/MIKE JE,31
SLEDGE,31
PROTEUS II,31
CRIMSON DYNAMO III/A,31
"NAGAN, DR. ARTHUR",31
"SANTINI, DR. JOSE",31
LIGHT,31
"POWELL, JASON",31
DIGGER,31
BLADE,31
GATECRASHER,31
STRONG GUY DOPPELGAN,31
POWER MAN II | MUTAN,31
"SHORR, JACQUELINE",31
RIGER,31
EQUILIBRIUS,31
"MCKENZIE, LYDIA",31
BRUTO THE STRONGMAN/,31
AUGUST PERSONAGE IN ,31
VINDALOO/,31
"CASSADA, MICHAEL",31
MONTANA,31
"CASSADA, ROBERTO",31
EMPRESS S'BYLL [SKRU,31
"STURDY, PROF. KENNET",31
ZARIN,31
CAT III/SHEN KUEI,31
GENERAL OBSIDIAN,31
"GILBERT, ROXANNE",31
REPTILLA,31
MERLIN,31
CYNAS,31
SPHINX II,31
"DAMIAN, DR. DANIEL",31
D.O.A.,31
INFERNO III/SAMANTHA,31
ORPHAN-MAKER/PETER,31
"ALVAREZ, PAUL",31
PHANTAZIA/,31
"TALBOT, MAJ. MATT",31
SKULLBUSTER,31
BEAUTIFUL DREAMER,31
GOSAMYR,31
AVIA,31
"HOCHBERG, ROGER",31
"HOLDEN, DR. SAMUEL",31
SAMEDAR,31
"DRAKE, WILLIAM ROBER",31
CESIUM,31
PISCES/NOAH PERRICON,30
4-D MAN/MERCURIO,30
MOLTEN MAN/MARK RAXT,30
MIDAS,30
HEMINGWAY,30
TICKTOCK,30
"JACKSON, STEVE",30
BLOODSCREAM,30
HARDCASE/HAROLD HARR,30
"CHANEY, AMANDA",30
LIVEWIRE/RANCE PREST,30
"MANELLI, DINO",30
BLOODSTONE/ULYSSES B,30
"SOFEN, MARION",30
TONGAH,30
DARK,30
BUSHWACKER/CARL,30
NEMESIS,30
GENII/JASON KIMBALL,30
YETI,30
"CHAMBERS, MR.",30
WYSPER/MS. STEWART,30
MANGOG,30
"WEIN, LEN",30
"RESTON, CLIVE",30
HIROMITSU,30
"BLAKE, DR. DONALD (C",30
MANTIS (SPACE PHANTO,30
EUROPIUM,30
MIDGET,30
PRIMUS,30
"VON STRUCKER, WERNER",30
RIGHT-WINGER/JEROME ,30
BLIZZARD/PROF. GREGO,30
"WINTHROP, DESIREE",30
DEATHWATCH/STEPHAN L,30
JASON II,30
"CLEMSON, MIKE",30
"STRANG, COL./LT. GAR",30
SCOURGE II/,30
HUNCH,30
SHAKATI,30
CANCER/JACK KLEVENO,30
"CARPENTER, LARRY",30
GAROKK,30
OX,30
"LEBEAU, MERCY",30
"TRAVELLER, DR. JUDAS",30
NAZE,30
PYLLAR,30
MARGOYLE,30
"PENNYWORTH, J.C.",30
POLARIS DOPPELGANGER,30
"MARTIN, ASHLEY",30
FERON,30
NIGHT RIDER III/HAMI,30
SOLARR,29
MOONRAKER/SLADE TRUM,29
GHOST,29
PHOSPHORUS,29
SAPPHIRAS,29
ASTRA II,29
PRESTER JOHN,29
MOTHER INFERIOR,29
LOGA II,29
"ST. CROIX, CLAUDETTE",29
CHANCE II/NICHOLAS P,29
VARUA/MIRA,29
BLIND AL/ALTHEA,29
FATALE/PAMELA GREENW,29
LEO/DANIEL RADFORD,29
"FAIRMONT, AMANDA MAN",29
K'RK [SHI'AR],29
"URICH, DORIS",29
THORNN II/LUCIA CALL,29
"GRANT, SILAS",29
"MACINTOSH, ANN",29
CORONARY/JIMMY SHARP,29
"RAMBEAU, MARIA",29
"SILVANI, VITTORIO",29
JAHF,29
KANGAROO II/,29
"CASSADA, CARLOS",29
"MANOLIS, LT. NICK",29
BEETLE ROBOT,29
CAPTAIN ULTRA/GRIFFI,29
"LARGO, CHIEF",28
CRIPPLER/KARL STRIKL,28
BARRAGE,28
RAZORBACK/,28
EDDA,28
T'CHAKA,28
KRISTA,28
"SLOAN, FRED",28
"KALE, JENNIFER",28
NINA,28
"STORM, CHILI",28
ODDBALL/ELTON HEALEY,28
"ALEXANDER, CALEB",28
SYBYL DORN,28
CONQUEST/BRIDGET MAL,28
"CALDRONE, JAVIER",28
KRAKOA,28
"BENTLEY, VICTORIA",28
HAUPTMANN DEUTSCHLAN,28
"AUTHIER, TRACY TRACE",28
ASTRA,28
BLUE DIAMOND/PROFESS,28
"MARRERO, ED",28
TERMINUS,28
"BLOTT, BRIGADIER INK",28
CUTTHROAT/DANIEL LEI,28
"LANDERS, GENA",28
TOKKOTS,28
DRUID/DREDMUND CROMW,28
"DEAN, DARBY",28
"KHANDRUVITCH, DR. VA",28
"MALPHER, KATHY",28
"SCRATCH, NICHOLAS",28
BLOOD WRAITH/SEAN DO,28
JILL,28
ZELDA,28
"ALOUETTE, GENARD",28
SENTRY III,28
"CASE, COL. PRESTON",28
DEATHLOK/COLONEL LUT,28
MAELEN,28
"LOCKLIN, BEN",28
REIGNFIRE/,28
MASTER PANDEMONIUM/M,28
DECAY II/YOSHIRO HAC,28
"BYRNE, JOHN",28
DEMONICUS/DR. DOUGLA,28
SLEEPER,28
WOLVERINE 2013,28
"JACKSON, CELIA",28
"O'BREEN, GLORIANNA",28
WENDIGO III/FRANCOIS,28
"JONES, TAMMY ANNE",28
"EVERETT, BILL",28
SCARECROW/EBENEZER L,28
PROMETHEUS II,28
ENRAKT,28
OMEGA-20/EUGENE,27
ENFORCER/DELAZNY,27
PRINCESS SANDELLA,27
MIDNIGHT III/JEFFREY,27
PENANCE III,27
BLURRY,27
LETHA,27
GRIZZLY II/THEODORE ,27
"DRAGONBLOOD, ULYSSES",27
CLARITY/,27
TRANTRA,27
HEALER,27
KAMO THARNN,27
"JARZINHO, COL. EDSON",27
"LEVIN, MAJOR DEBRA",27
JACK FROST/,27
BARON BLOOD II/VICTO,27
"BEACH, SPIDER",27
BIRD MAN III/,27
INDIUM,27
SUNDOWN/DR. DAVE LOW,27
HARGEN,27
ALFY,27
STAR-STALKER,27
ETERNAL BRAIN/PROFES,27
ZIRCONIUM,27
"EDWARDS, MARTIN/DR. ",27
REDEEMER/CRAIG SAUND,27
DIONYSUS [GREEK GOD],27
"TRASK, LAWRENCE LARR",27
FAWKES,27
"AGEE, DR. AUBREY",27
"JONES, NELL",27
"HO, LI MUAN",27
BYRRAH [ATLANTEAN],27
FANCY DAN,27
TESS-ONE,27
"MURDOCK, SISTER MAGG",27
"SIMONSON, LOUISE",27
"BYRNES, GAYLE WATSON",27
"IMMORTUS, MARCUS",27
SAT-YR-9,27
YAP,27
GARGOUILLE/,27
"STEED, JOHN",27
STONECUTTER/UTAMA TO,27
MADAME MENACE/SUNSET,27
HULK ROBOT,27
DAZZLER/BURTRAM WORT,27
PORTAL/CHARLES LITTL,27
ROUGHHOUSE,27
"ROYCE, JENNIE",27
HULK | MUTANT X-VERS,27
ADMIRAL PROTOCOL/,27
"QUINN, PAMELA",27
KULAN GATH,26
"RYAN, THOMAS",26
"MUTO, JUNZO",26
LIFEFORCE,26
KARKAS | MUTANT X-VE,26
FOOL,26
GROVEL,26
GUDRUN [ASGARDIAN],26
PERRIKUS,26
"BOGGS, MORDECAI P.",26
WRONG,26
BEVATRON/,26
FRANKENSTEIN MONSTER,26
GAZELLE,26
MOUNTJOY,26
"STANCHEK, DR.",26
BULLET,26
"HITLER, ADOLF",26
CITIZEN V/JOHN WATKI,26
SUMO,26
SISTER CHLOE,26
SMOKESCREEN/,26
ENRAGED,26
GLAMOUR GIRL/GLORIA,26
"HARRIS, EDDIE",26
"NOCENTI, ANN",26
GOG,26
VERTIGO,26
BLACK PANTHER | MUTA,26
"KRAMER, KENNY",26
SCORPIO IV,26
"DUNHAM, LAURA",26
"JAYE-FIRESTONE, GING",26
MINISTER BLOOD,26
LADY OF THE LAKE,26
"DRAKE, CARLTON",26
STINGER III/,26
PRISM,26
LILITH II,26
"LOBO, CARLOS",26
RINGER/ANTHONY TONY ,26
SETH,26
FIREARM/,26
"DEVILLE, ARCADIA",26
BRUTUS II,26
GRIZZLY/MAXWELL MARK,26
"ST. CROIX, NICOLE",26
BROTHER TODE,26
MOONSTALKER/KIANA,26
BENEDICT,26
GARTHAN SAAL,26
POWERHOUSE/RIEG DAVA,26
"STALYENKO, COL. YURI",26
ROCKETLAUNCHER/,26
WOZ/DEWOZ,26
"CORD, JANICE",26
"BRAWN, TRISTAN",26
MYSTERIO II/DANIEL B,26
TARANTULA/ANTON MIGU,26
AGAMOTTO,25
"BANKS, SHARON",25
NEPTUNIUM,25
BOOBYTRAP/,25
NIGHT RIDER,25
"ALDEN, PROF. MEREDIT",25
LEFT-WINGER/HECTOR L,25
SEMIJAN,25
"RUNCITER, GAIL",25
"FROST, CORDELIA",25
CHIMERA II,25
VESTA,25
"MCCOY, NORTON",25
SOLAR WIND,25
VOLLA,25
NOVA OMEGA/GARTHAN S,25
"CIRE, EYLA",25
DARKOTH/MAJOR DESMON,25
HULK III/BRUCE BANNE,25
"HOBBS, HARRIS",25
OX III,25
MAINFRAME II,25
BELLAM,25
SPLICE/CHANDRA KU,25
"WARD, SEN. STEWART",25
"TANAKA, OPAL",25
DEVIL DINOSAUR,25
JUVAN,25
FIFOLET,25
RISQUE/GLORIA,25
"WEBSTER, NORM",25
MAJESTON ZELIA,25
"FREDERICKS, GENERAL",25
MAHA YOGI,25
PRINCE REY,25
TURK,25
"TWAKI, DR. TED",25
