,Name,Identity,Alignment,Gender,Status,Year
3256,DaVanti (Earth-616),Secret,Bad,Male,Living,2008.0
3257,Daakor (Earth-616),No Dual,Bad,Male,Living,1995.0
3258,Daap (Earth-616),,Neutral,Male,Living,2005.0
3259,Daboia (Earth-616),Secret,Bad,Male,Living,
3260,Dacio (Earth-616),Public,Bad,Male,Deceased,1941.0
3261,Dack Derringer (Earth-616),Public,Bad,Male,Deceased,1975.0
3262,Daedikaron (Earth-616),Public,,Male,Deceased,
3263,Daemian Wainscroft (Earth-616),Public,Neutral,Male,Living,1991.0
3264,Daemond (Earth-616),,,Male,Living,1974.0
3265,Dafi (Earth-616),,,Female,Living,2007.0
3266,Dafydd ap Iowerth (Earth-616),Public,Good,Male,Living,1989.0
3267,Dafydd ap Rhys (Earth-616),Secret,Bad,Male,Living,1977.0
3268,Dagal (Earth-616),,Good,Male,Living,1990.0
3269,Dagan Shah (Earth-616),Secret,Bad,Male,Living,2011.0
3270,Daggaerdh (Earth-616),,Bad,Female,Deceased,2013.0
3271,Dagger (Mobster) (Earth-616),Secret,Bad,Male,Living,1944.0
3272,Daglio (Earth-616),Public,Bad,Male,Living,1941.0
3273,Dagny Forrester (Earth-616),Secret,Bad,Female,Living,1991.0
3274,Dagon (Microverse) (Earth-616),,Bad,Male,Deceased,1981.0
3275,Dagora (Earth-616),No Dual,Bad,Male,Living,
3276,Dagoth (Earth-616),,,Male,Living,1973.0
3277,Dahl (Earth-616),No Dual,Bad,Male,Living,
3278,Dahrev (Earth-616),Public,Neutral,Female,Living,2009.0
3279,Dai Kumo (Earth-616),,Bad,Male,Living,1990.0
3280,Dai Thomas (Earth-616),Public,,Male,Living,1975.0
3281,Dai'andral (Earth-616),Public,Good,Female,Living,2006.0
3282,Daichi Sakamoto (Earth-616),Secret,Good,,Deceased,1992.0
3283,Daik\u016b Mary\u016b (Earth-616),,,Male,Living,1979.0
3284,Daillus (Earth-616),Public,Good,Male,Deceased,1987.0
3285,Daimon Hellstrom (Earth-616),No Dual,Neutral,Male,Living,1973.0
3286,Daimos (Earth-616),,,,Living,
3287,Daina (Earth-616),Secret,,Female,Living,
3288,Daisy (All-Women's Squad) (Earth-616),,Good,Female,Living,2012.0
3289,Daisy (Villain) (Earth-616),Secret,Bad,Female,Living,2007.0
3290,Daisy Johnson (Earth-616),Secret,Good,Female,Living,2004.0
3291,Daito (Snakeroot) (Earth-616),Secret,Bad,Male,Deceased,1993.0
3292,Daka (Earth-616),Public,Bad,Male,Living,1941.0
3293,Dakari (Earth-616),Public,Good,Male,Living,1985.0
3294,Dakimh (Earth-616),,Good,Male,Deceased,1973.0
3295,Dakkor (Earth-616),Public,Bad,Male,Living,1989.0
3296,Dakor (Earth-616),Public,Good,Male,Living,1940.0
3297,Dakota Bennett (Earth-616),No Dual,Good,Female,Deceased,
3298,Dal Damoc (Earth-616),Public,Neutral,Male,Living,2010.0
3299,Dal Sendor (Earth-616),Public,Bad,Male,Living,1983.0
3300,Dale Rice (Earth-616),,Bad,Male,Deceased,2005.0
3301,Dale Sturm (Earth-616),Public,Good,Male,Living,1940.0
3302,Dale West (Earth-616),No Dual,Good,Male,Living,1976.0
3303,Dale Yorkes (Earth-616),Public,Bad,Male,Deceased,2003.0
3304,Dalia (Earth-616),Secret,Neutral,Female,Living,1982.0
3305,Dallas Gibson (Earth-616),Secret,Good,Male,Living,2003.0
3306,Dallas Huxley (Earth-616),Public,Good,Male,Living,2003.0
3307,Dallas Riordan (Earth-616),Secret,Good,Female,Living,1997.0
3308,Dalt Kendall (Earth-616),Secret,Bad,Male,Deceased,1944.0
3309,Dalton Beck (Earth-616),Secret,,Male,Living,1999.0
3310,Dalton Gance (Earth-616),,Bad,Male,Living,1968.0
3311,Dalx (Earth-616),Public,Bad,Male,Living,2008.0
3312,Dam-Ayido Wede (Earth-616),Public,Bad,,Living,1973.0
3313,Daman Veteri (Earth-616),Public,Neutral,Male,Living,2013.0
3314,Damballah (Demon) (Earth-616),,Bad,Male,Living,1976.0
3315,Damballah (Mystic) (Earth-616),Secret,Bad,Male,Living,
3316,Dame Kackle (Earth-616),Secret,Bad,Female,Living,1941.0
3317,Damian Tryp Jr. (Earth-616),Secret,Neutral,Male,Deceased,2006.0
3318,Damiella (Earth-616),Secret,Good,Male,Living,2010.0
3319,Damocles Rivas (Earth-616),Secret,Bad,Male,Deceased,2004.0
3320,Damon Dran (Earth-616),Public,,Male,Deceased,1972.0
3321,Damon Joquez (Earth-616),,,Male,Living,1989.0
3322,Damon Larsen (Earth-616),Secret,Bad,Male,Deceased,2003.0
3323,Damon Malone (Earth-616),Secret,Bad,Male,Deceased,1948.0
3324,Damon Mathias (Earth-616),Secret,Bad,Male,Living,1992.0
3325,Damon Ryder (Earth-616),Secret,Bad,Male,Deceased,2009.0
3326,Damos (Earth-616),Public,Bad,Male,Living,1986.0
3327,Dampyre (Earth-616),Public,,Male,Living,1996.0
3328,Dan (Earth-616),Public,,Male,Living,1973.0
3329,Dan Carey (Earth-616),Public,Good,Male,Living,1942.0
3330,Dan Carlisle (Earth-616),No Dual,Neutral,Male,Living,1954.0
3331,Dan Davis (Earth-616),Public,Good,Male,Living,1999.0
3332,Dan Dunn (Earth-616),,Bad,Male,Living,1970.0
3333,Dan Harper (Earth-616),,,Male,Living,1961.0
3334,Dan Hawk (Earth-616),Public,Good,Male,Living,1957.0
3335,Dan Hurley (Earth-616),Public,Good,Male,Deceased,1941.0
3336,Dan Kane (Earth-616),No Dual,Good,Male,Deceased,1941.0
3337,Dan Sekowsky (Earth-616),Secret,Bad,Male,Living,1944.0
3338,Dan Smoltz (Earth-616),Public,Neutral,Male,Living,2008.0
3339,Dan Springer (Earth-616),Secret,Bad,Male,Living,1983.0
3340,Dan Strom (Earth-616),No Dual,Neutral,Male,Living,2002.0
3341,Dana Holmes (Earth-616),Secret,Good,Female,Living,2002.0
3342,Dana Hutton (Earth-616),Public,Neutral,Female,Deceased,2004.0
3343,Danad (Earth-616),No Dual,Neutral,Male,Living,1969.0
3344,Danbury Fawcett (Earth-616),Public,Bad,Male,Living,1945.0
3345,Dancer (Earth-616),,Bad,Male,Living,1966.0
3346,Dancing Water (Earth-616),Secret,Bad,Female,Living,2012.0
3347,Dandre (Earth-616),Secret,Good,Male,Living,1996.0
3348,Dane Gavin (Earth-616),Public,Neutral,Male,Living,1974.0
3349,Dane Whitman (Earth-616),Secret,Good,Male,Living,1967.0
3350,Dane Whitman (Knight Errant) (Earth-616),,Bad,Male,Deceased,1998.0
3351,Dangard Ace (Earth-616),,,,Living,1979.0
3352,Danger (Earth-616),No Dual,Good,Female,Living,2005.0
3353,Dangerous Doll (Earth-616),Secret,Neutral,Male,Living,1960.0
3354,Dangerous Jinn (Earth-616),Secret,Bad,Male,Living,2013.0
3355,Dangor (Earth-616),,,Male,Living,1992.0
3356,Dania (Earth-616),Secret,Good,Female,Deceased,1991.0
3357,Daniel (Angel) (Earth-616),Secret,Good,Male,Living,2005.0
3358,Daniel Alves (Earth-616),No Dual,Good,Male,Deceased,2011.0
3359,Daniel Axum (Earth-616),Public,,Male,Living,2003.0
3360,Daniel Bannion (Earth-616),Secret,Bad,Male,Living,1987.0
3361,Daniel Bascom (Earth-616),Public,Bad,Male,Living,1940.0
3362,Daniel Berkhart (Earth-616),Secret,Bad,Male,Deceased,1975.0
3363,Daniel Brantson (Earth-616),Secret,Bad,Male,Living,1995.0
3364,Daniel Brito (Earth-616),Public,Bad,Male,Deceased,1964.0
3365,Daniel Chilton (Earth-616),Secret,Good,Male,Deceased,2011.0
3366,Daniel Damian (Earth-616),No Dual,Good,Male,Deceased,1967.0
3367,Daniel Dash (Earth-616),Secret,Bad,Male,Deceased,1998.0
3368,Daniel Davis (Earth-616),Secret,Bad,Male,Living,1993.0
3369,Daniel Drumm (Earth-616),Public,Neutral,Male,Deceased,1973.0
3370,Daniel DuBois (Earth-616),Secret,Bad,Male,Living,2009.0
3371,Daniel Edge (Earth-616),,,Male,Deceased,1996.0
3372,Daniel Fielstein (Earth-616),Public,Good,Male,Living,1990.0
3373,Daniel Grimm (Earth-616),,Neutral,Male,Living,1983.0
3374,Daniel Grimm Jr. (Earth-616),,Neutral,Male,Deceased,1983.0
3375,Daniel Howlett (Earth-616),,Neutral,Male,Living,
3376,Daniel Ironwood (Earth-616),Public,Good,Male,Deceased,1979.0
3377,Daniel Jermain (Earth-616),Public,Neutral,Male,Living,2004.0
3378,Daniel Jones (Earth-616),Secret,Good,Male,Living,1993.0
3379,Daniel Jones (Torpedo) (Earth-616),,Good,Male,Living,1977.0
3380,Daniel Kaufman (Earth-616),Secret,Bad,Male,Living,2004.0
3381,Daniel Ketch (Earth-616),Secret,Neutral,Male,Living,1990.0
3382,Daniel Kingsley (Earth-616),Secret,Bad,Male,Deceased,1997.0
3383,Daniel Leighton (Earth-616),Secret,Bad,Male,Living,1980.0
3384,Daniel Lyons (Earth-616),Secret,Good,Male,Deceased,1941.0
3385,Daniel Maddox (Earth-616),Public,Neutral,Male,Living,2007.0
3386,Daniel Madrox (Earth-616),Public,Good,Male,Deceased,1975.0
3387,Daniel O'Toole (Earth-616),No Dual,Good,Male,Living,1947.0
3388,Daniel Peyer (Earth-616),,,Male,Living,1994.0
3389,Daniel Radford (Earth-616),Secret,,Male,Living,1970.0
3390,Daniel Rand (Dragonfist) (Earth-616),,Bad,Male,Living,1998.0
3391,Daniel Rand (Earth-616),Secret,Good,Male,Living,1974.0
3392,Daniel Rand (H'ylthri) (Earth-616),Secret,Good,Male,Deceased,1985.0
3393,Daniel Ridge Jr. (Earth-616),Public,Good,Male,Living,1980.0
3394,Daniel Rose (Earth-616),Secret,Good,Male,Living,1941.0
3395,Daniel Shawcross (Earth-616),No Dual,,Male,Living,2005.0
3396,Daniel Shepard (Earth-616),,,,Living,1985.0
3397,Daniel Shomron (Earth-616),,Good,Male,Deceased,1982.0
3398,Daniel Smallwood (Earth-616),Secret,Good,Male,Living,1983.0
3399,Daniel Sylva (Earth-616),Public,Good,Male,Living,2008.0
3400,Daniel Walker (Earth-616),Public,Good,Male,Living,1994.0
3401,Daniel Whitehall (Earth-616),Secret,Bad,Male,Living,2009.0
3402,Daniel Wiley (Earth-616),Secret,Good,Male,Living,
3403,Daniel Wyzcenko (Earth-616),Public,Good,Male,Living,2002.0
3404,Danielle Belmonde (Earth-616),Public,Bad,Female,Living,1984.0
3405,Danielle Blunt (Earth-616),Secret,Bad,Female,Living,2010.0
3406,Danielle Cage (Earth-616),No Dual,Good,Female,Living,2006.0
3407,Danielle Forte (Earth-616),Secret,Bad,Female,Living,1990.0
3408,Danielle Moonstar (Earth-616),Secret,Good,Female,Living,1982.0
3409,Danielle Nicolle (Earth-616),,Bad,Female,Living,1975.0
3410,Danika Trevani (Earth-616),Public,Neutral,Female,Deceased,1990.0
3411,Danny Dougherty (Earth-616),Public,Neutral,Male,Living,1941.0
3412,Danny French (Earth-616),,Neutral,Male,Deceased,1972.0
3413,Danny Granville (Earth-616),Public,,Male,Living,2007.0
3414,Danny Grogan (Earth-616),No Dual,Bad,Male,Living,1946.0
3415,Danny Shepard (Earth-616),,,Male,Living,2006.0
3416,Danny Summers (Earth-616),No Dual,Bad,Male,Living,1972.0
3417,Danny Zucco (Earth-616),Public,Good,Male,Living,2002.0
3418,Dansen Macabre (Earth-616),Secret,Bad,Female,Deceased,1980.0
3419,Dansker (Earth-616),Secret,Bad,Male,Living,1975.0
3420,Dante (Inhuman) (Earth-616),Secret,Good,Male,Living,
3421,Dante (Shadow Consortium) (Earth-616),Secret,Bad,Male,Living,1994.0
3422,Dante Kale (Earth-616),,Good,Male,Living,1996.0
3423,Dante Ortega (Earth-616),,Neutral,Male,Living,2003.0
3424,Dante's mother (Earth-616),No Dual,Neutral,Female,Deceased,
3425,Dantella (Earth-616),No Dual,Neutral,Female,Living,1994.0
3426,Danton Vayla (Earth-616),No Dual,Bad,Male,Deceased,1974.0
3427,Daphne (Earth-616),Public,Good,Female,Living,1949.0
3428,Daphne von Wilkinson (Earth-616),No Dual,Bad,Female,Deceased,1975.0
3429,Dar Mal Goth (Earth-616),,Bad,Male,Living,1992.0
3430,Dar-Benn (Earth-616),No Dual,Neutral,Male,Deceased,1991.0
3431,Dara (Earth-616),Public,Good,Male,Living,1984.0
3432,Dara (Hypnotist) (Earth-616),Public,Bad,Male,Deceased,1954.0
3433,Dara Ko Eke (Earth-616),Secret,Good,Female,Living,2010.0
3434,Daramulum (Earth-616),Secret,Neutral,Male,Living,2009.0
3435,Daraxus Dax (Earth-616),Public,Neutral,Male,Living,2010.0
3436,Darby Dean (Earth-616),Public,Neutral,Male,Living,1988.0
3437,Darcia (Earth-616),Public,Good,Female,Living,1996.0
3438,Darco (Earth-616),Secret,Good,Male,Living,1999.0
3439,Darg (Earth-616),Public,Bad,Male,Living,1994.0
3440,Dargil (Earth-616),Secret,Bad,Male,Living,1998.0
3441,Dargin Bokk (Earth-616),Secret,Bad,Male,Living,1992.0
3442,Daria (Earth-616),,,Female,Living,1996.0
3443,Darian Elliott (Earth-616),,Good,Male,Deceased,2001.0
3444,Darick Gallhager (Earth-616),Secret,,Male,Living,2003.0
3445,Darin (Earth-616),Public,Good,Male,Living,1982.0
3446,Darin II (Earth-616),Public,Good,Male,Living,2000.0
3447,Dario Agger (Earth-616),Secret,Bad,Male,Living,
3448,Darius Faraz (Earth-616),,,Male,Living,2007.0
3449,Darius Venginian (Earth-616),Public,Bad,Male,Living,1999.0
3450,Darius Zorn (Earth-616),Public,Bad,Male,Living,1960.0
3451,Dark (Soldiers of Misfortune) (Earth-616),,,Female,Living,1994.0
3452,Dark Dweller (Earth-616),,Bad,Male,Living,1990.0
3453,Dark Hunter (Earth-616),,Bad,,Living,1997.0
3454,Dark Legion (Lilin) (Earth-616),Secret,Bad,Male,Living,1993.0
3455,Dark Overlord (Earth-616),Secret,Bad,Male,Living,
3456,Dark Rider (Earth-616),Secret,Bad,Male,Living,1976.0
3457,Dark Tower (Chess Set) (Earth-616),Secret,Bad,Male,Living,1993.0
3458,Dark-Crawler (Earth-616),Secret,Bad,Male,Living,1970.0
3459,Darklore (Earth-616),Secret,Good,Male,Living,1993.0
3460,Darkstrider (Earth-616),Secret,Bad,Male,Living,2011.0
3461,Darla Deering (Earth-616),Public,Good,Female,Living,2012.0
3462,Darlene (Earth-616),Public,Bad,Female,Living,2010.0
3463,Darlene (Host) (Earth-616),No Dual,,Female,Living,2007.0
3464,Darlene Dunderbeck (Earth-616),Public,Good,Female,Living,1985.0
3465,Darlene Sims (Earth-616),Secret,,Female,Deceased,2008.0
3466,Darlene Wright (Earth-616),Secret,Neutral,Female,Living,2012.0
3467,Darnak (Earth-616),,,Male,Living,1977.0
3468,Darrel Daniel (Earth-616),Public,,Male,Deceased,1974.0
3469,Darren Bentley (Earth-616),Secret,Bad,Male,Deceased,1970.0
3470,Darren Cross (Earth-616),No Dual,Bad,Male,Deceased,1979.0
3471,Darren Mitchell (Earth-616),Secret,Good,Male,Living,2000.0
3472,Daryl Andrews (Earth-616),,,Male,Living,1992.0
3473,Daryl Kane (Earth-616),,Bad,Male,Living,1983.0
3474,Daryl Taylor (Earth-616),Public,Good,Male,Deceased,1992.0
3475,Daryll Smith (Earth-616),Public,,Male,Living,1997.0
3476,Dashak (Earth-616),No Dual,Good,Male,Living,
3477,Dasra (Earth-616),Public,Bad,Male,Living,
3478,Davan Shakari (Earth-616),Secret,Bad,Male,Living,1976.0
3479,Dave (Cop) (Earth-616),,,Male,Living,
3480,Dave (Earth-616),Public,,Male,Living,1965.0
3481,Dave (Guard) (Earth-616),Public,,Male,Living,1966.0
3482,Dave (Scarlet Spider Character) (Earth-616),,,Male,Living,
3483,Dave Cambell (Earth-616),No Dual,Neutral,Male,Deceased,2003.0
3484,Dave Carson (Earth-616),Public,Good,Male,Living,1948.0
3485,Dave Chatterton (Earth-616),,Neutral,Male,Deceased,1985.0
3486,Dave Finn (Earth-616),Secret,Good,Male,Living,2002.0
3487,Dave of Santa Monica (Earth-616),Public,,Male,Living,1988.0
3488,Davey Drew (Earth-616),Public,Good,Male,Living,1941.0
3489,Davey Jones (Earth-616),Secret,,Male,Living,1961.0
3490,David (Angel) (Earth-616),Secret,Good,Male,Living,
3491,David Alleyne (Earth-616),Secret,Good,Male,Living,2003.0
3492,David Angar (Earth-616),Secret,Good,Male,Deceased,1973.0
3493,David Anthony Rice (Earth-616),Secret,Bad,Male,Living,1994.0
3494,David Arnstead (Earth-616),Public,Good,Male,Living,1971.0
3495,David Beiderbecke (Earth-616),,Good,Male,Living,2006.0
3496,David Bond (Earth-616),Secret,Good,Male,Living,
3497,David Breyer (Earth-616),,Bad,Male,Living,1996.0
3498,David Brinkley (Earth-616),Public,Neutral,Male,Living,1967.0
3499,David Cannon (Earth-616),Public,Bad,Male,Living,1963.0
3500,David Cannon (Heroes Reborn) (Earth-616),,Bad,Male,Living,1997.0
3501,David Carter (Earth-616),,,Male,Living,1972.0
3502,David Christopher Bank (Earth-616),Secret,Good,Male,Living,1994.0
3503,David Cox (Earth-616),Public,Good,Male,Living,1973.0
3504,David Dean (Earth-616),No Dual,Good,Male,Living,1940.0
3505,David Eshcol (Earth-616),No Dual,Good,Male,Deceased,1974.0
3506,David Ferrari (Earth-616),Secret,Bad,Male,Living,1999.0
3507,David Garrett (Earth-616),Public,Bad,Male,Deceased,2006.0
3508,David Gonzales (Earth-616),,Good,Male,Living,2008.0
3509,David Green (Earth-616),Secret,Good,Male,Living,2009.0
3510,David Griffith (Earth-616),No Dual,Good,Male,Living,1972.0
3511,David Haller (Earth-616),Secret,Good,Male,Living,1985.0
3512,David Hilbert (Earth-616),Public,Bad,Male,Living,1987.0
3513,David Ishima (Earth-616),Public,Good,Male,Living,1981.0
3514,David Jenkins (Earth-616),,,Male,Living,2005.0
3515,David Johnson (Earth-616),Public,Neutral,Male,Living,1944.0
3516,David Kalen (Earth-616),Secret,,Male,Living,1996.0
3517,David Knox (Earth-616),Public,,Male,Living,2005.0
3518,David Laramee (Earth-616),Public,,Male,Living,1951.0
3519,David Larnum (Earth-616),Secret,Bad,Male,Living,1948.0
3520,David Letterman (Earth-616),No Dual,Good,Male,Living,1984.0
3521,David Lieberman (Earth-616),Secret,Neutral,Male,Deceased,1987.0
3522,David Lowell (Earth-616),Secret,Neutral,Male,Living,1997.0
3523,David Michael Gray (Earth-616),Public,Bad,Male,Deceased,2012.0
3524,David Mitchell (Earth-616),Secret,Good,Male,Living,1978.0
3525,David Montgomery (Earth-616),Public,,Male,Living,2002.0
3526,David Moreau (Earth-616),Public,Bad,Male,Deceased,1988.0
3527,David Munroe (Earth-616),Secret,Good,Male,Deceased,1976.0
3528,David Munroe II (Earth-616),Public,Good,Male,Living,2006.0
3529,David Pennant (Earth-616),Secret,Bad,Male,Living,1993.0
3530,David Pike (Earth-616),,Bad,Male,Living,1989.0
3531,David Rand (Earth-616),Public,Good,Male,Living,1939.0
3532,David Rickford (Earth-616),Secret,Good,Male,Living,2011.0
3533,David Roberts (Earth-616),Secret,Neutral,Male,Living,1993.0
3534,David Slowman (Earth-616),Public,,,Deceased,1990.0
3535,David Sorenson (Earth-616),No Dual,Bad,Male,Deceased,1977.0
3536,David Stack (Earth-616),Secret,Good,Male,Living,1987.0
3537,David Thompson (Earth-616),Public,Good,Male,Living,1986.0
3538,David Walsh,Public,Bad,Male,Living,2012.0
3539,David Weiss (Daily Bugle) (Earth-616),,,Male,Living,
3540,David Weiss (Sewer Commissioner) (Earth-616),,,Male,Living,1988.0
3541,David Wu (Earth-616),Public,Good,Male,Living,1980.0
3542,Davida DeVito (Earth-616),Public,Neutral,Female,Living,1979.0
3543,Davis (Mutant) (Earth-616),,,Male,Deceased,2003.0
3544,Davis Cameron (Earth-616),Secret,,Male,Living,2001.0
3545,Davis Harmon (Earth-616),,Bad,Male,Deceased,2009.0
3546,Davis Lawfers (Earth-616),Secret,Bad,Male,Living,1988.0
3547,Dawn (Hellbent) (Earth-616),Secret,,Female,Living,1993.0
3548,Dawn Fury (Earth-616),,,Female,Living,1967.0
3549,Dawn Greenwood (Earth-616),No Dual,Good,Female,Living,
3550,Dawn Middlebury (Earth-616),,Bad,Female,Living,1986.0
3551,Dawn Star (Earth-616),Public,Good,Female,Deceased,1954.0
3552,Dawn Starr (Earth-616),,,Female,Living,1980.0
3553,Daydra (Earth-616),Public,Good,Female,Living,1969.0
3554,Daystar (Spaceknight) (Earth-616),Public,,Male,Living,2007.0
3555,Daze (Fold) (Earth-616),Public,Bad,Male,Living,1994.0
3556,Ddraig Goch (Earth-616),Public,Good,Male,Living,2007.0
3557,De'Lila (Earth-616),Secret,Bad,Female,Living,1990.0
3558,De'zean (Earth-616),No Dual,Bad,Male,Deceased,2005.0
3559,DeHalle (Earth-616),Secret,Bad,Female,Living,2008.0
3560,DeMarr Davis (Earth-616),Public,,Male,Living,1989.0
3561,Deacon (Criminal) (Earth-616),Secret,Bad,Male,Living,1965.0
3562,Deacon (Earth-616),Public,Bad,Male,Living,2008.0
3563,Deacon Frost (Earth-616),Public,Bad,Male,Deceased,1973.0
3564,Dead Girl (Moonbeam) (Earth-616),Secret,Good,Female,Deceased,2002.0
3565,Dead Shot (Masked Raider) (Earth-616),,Bad,Male,Living,1939.0
3566,Deadaim (Earth-616),,Bad,Male,Living,1994.0
3567,Deadbolt (Earth-616),Secret,Bad,Male,Deceased,1994.0
3568,Deadpool (Wade Wilson),Secret,Neutral,Male,Living,1991.0
3569,Deadshot Darrance (Earth-616),Secret,Bad,Male,Living,1983.0
3570,Dean Boswell (Earth-616),Secret,Good,Male,Deceased,2003.0
3571,Dean Corliss (Earth-616),No Dual,Good,Male,Living,1965.0
3572,Dean Helm (Earth-616),Secret,Bad,Male,Living,1983.0
3573,Dean Prentiss (Earth-616),No Dual,Bad,Male,Living,1954.0
3574,Dean Swayvrick (Earth-616),Public,Neutral,Male,Deceased,1994.0
3575,Dean Tarlek (Earth-616),Secret,Bad,Male,Living,1944.0
3576,Deanna Stockbridge (Earth-616),,,Female,Deceased,1999.0
3577,Death (11th Century) (Earth-616),Secret,Bad,Male,Deceased,2013.0
3578,Death Ninja (Earth-616),Secret,Bad,Male,Deceased,1990.0
3579,Death Reaper (Earth-616),Secret,Bad,Female,Living,2009.0
3580,Death Tiger (Earth-616),Secret,Bad,Male,Deceased,2007.0
3581,Death's Head (Carl) (Earth-616),Secret,Good,Male,Living,2010.0
3582,Death-Stalker (Earth-616),,Bad,Female,Living,2012.0
3583,Deathcharge (Earth-616),Secret,Bad,Male,Living,1994.0
3584,Deathlok (Robot) (Earth-616),,Neutral,,Deceased,1979.0
3585,Deathunt 9000 (Earth-616),Secret,Bad,Male,Living,1992.0
3586,Deathurge (Earth-616),Secret,Bad,Male,Living,1981.0
3587,Deathwalker Prime (Earth-616),No Dual,Bad,Agender,Living,
3588,Deathwatch (Earth-616),Secret,Bad,Male,Living,1990.0
3589,Deathwings,,Bad,,Living,1979.0
3590,Deb Lowry (Earth-616),,Bad,Female,Living,1986.0
3591,Deborah & Donald Ritter (Earth-616),Secret,Good,,Living,1991.0
3592,Deborah Bertrand (Earth-616),Secret,Bad,Female,Living,2004.0
3593,Deborah Fields (Earth-616),Public,Good,Female,Living,2005.0
3594,Deborah Green (Earth-616),,Good,Female,Living,2008.0
3595,Deborah Harris (Earth-616),Public,Good,Female,Living,1965.0
3596,Deborah Kinney (Earth-616),Secret,Neutral,Female,Living,2005.0
3597,Deborah Summers (Earth-616),Secret,Good,Female,Living,1983.0
3598,Debra (Earth-616),Public,Neutral,Female,Living,1999.0
3599,Debra Crovi (Earth-616),,Good,Female,Living,1996.0
3600,Debra Levin (Earth-616),Public,Good,Female,Living,1990.0
3601,Debra Whitman (Earth-616),No Dual,,Female,Living,1979.0
3602,Decimus Furius (Earth-616),Secret,Bad,Male,Deceased,2010.0
3603,Declan McGuinness (Earth-616),Secret,Bad,Male,Living,2010.0
3604,Deconsecrator (Earth-616),,Bad,Male,Living,2012.0
3605,Dee Milo (Earth-616),Public,Good,Female,Deceased,2002.0
3606,Deena Drayson (Earth-616),Public,Good,Female,Living,1942.0
3607,Deep-Sea Fungus (Earth-616),,,,Living,1963.0
3608,Defiler (Earth-616),Secret,,Male,Living,1988.0
3609,Degrayde (Earth-616),Public,Bad,Male,Living,1981.0
3610,Dei Guan (Earth-616),Secret,Good,Male,Living,1988.0
3611,Deidre Wentworth (Earth-11418),Secret,Bad,Female,Living,2011.0
3612,Deidre Wentworth (Earth-616),Secret,Bad,Female,Living,1991.0
3613,Deilla (Earth-616),Public,Good,Female,Living,1990.0
3614,Deimne (Earth-616),,Good,Male,Living,2007.0
3615,Deimos (Earth-616),,,Male,Living,1991.0
3616,Deke (Clint Barton's neighbor) (Earth-616),Public,Good,Male,Living,2012.0
3617,Deko (Earth-616),Public,Bad,Male,Deceased,2007.0
3618,Delandra (Earth-616),,Neutral,Female,Living,1975.0
3619,Delbert (Tantrum) (Earth-616),Secret,Bad,Male,Living,1992.0
3620,Delia Childress (Earth-616),Public,Bad,Female,Living,1981.0
3621,Delilah (Earth-616),Secret,Bad,Female,Living,1996.0
3622,Delilah Dearborn (Earth-616),Public,,Female,Living,1996.0
3623,Della Mason (Earth-616),No Dual,Bad,Female,Living,1948.0
3624,Delmurio (Earth-616),Public,,Male,Deceased,1985.0
3625,Delphan Brothers (Earth-616),Secret,Good,Male,Living,1977.0
3626,Delphi (Genosha) (Earth-616),Public,Good,Female,Living,1999.0
3627,Delphi (Morlock) (Earth-616),Secret,Neutral,Female,Living,2007.0
3628,Delphi (Pantheon) (Earth-616),Secret,Good,Female,Living,1991.0
3629,Delphic (Legion Personality) (Earth-616),Secret,Neutral,Female,Living,2011.0
3630,Delphis (Earth-616),Secret,Good,Male,Living,1997.0
3631,Delphos (Earth-616),Secret,Neutral,Female,Living,2000.0
3632,Delphyne Gorgon (Earth-616),No Dual,Neutral,Female,Living,2008.0
3633,Delroy Garrett Jr. (Earth-616),Secret,Good,Male,Living,1998.0
3634,Delta Nine (Earth-616),No Dual,Good,Male,Living,1991.0
3635,Deluge (Avatars) (Earth-616),Secret,Bad,,Living,1994.0
3636,Delusion (Earth-616),Secret,Bad,Male,Living,1993.0
3637,Delusionaut (Legion Personality) (Earth-616),Secret,Neutral,Male,Living,
3638,Demarest Dodds (Earth-616),Public,Neutral,Male,Living,1948.0
3639,Demeityr (Earth-616),Public,Good,Male,Living,1989.0
3640,Dementia (Tia) (Earth-616),Secret,Neutral,Female,Living,1993.0
3641,Demetrius Lazer (Earth-616),Public,Bad,Male,Deceased,2006.0
3642,Demetros (Earth-616),,,Male,Living,1974.0
3643,Demitrius (Earth-616),Secret,Bad,Male,Living,1971.0
3644,Demitrius Collins (Earth-616),Public,Good,Male,Living,1998.0
3645,Demiurge (Earth-616),,,,Living,1982.0
3646,Demogoblin (Earth-616),Secret,Neutral,Male,Deceased,1989.0
3647,Demolisher (Robot) (Earth-616),Public,Neutral,,Living,1968.0
3648,Demon (Davey Drew Foe) (Earth-616),Secret,Bad,Male,Living,1941.0
3649,Demon (Marea) (Earth-616),,,Female,Deceased,1988.0
3650,Demon (Witch Doctor) (Earth-616),,Bad,Male,Living,1965.0
3651,Demon Bear (Earth-616),Secret,Bad,Male,Living,1983.0
3652,Demon Riders (Mogul servants) (Earth-616),,Bad,,Living,1967.0
3653,Demon from the Deep (Earth-616),Secret,Bad,Male,Living,1952.0
3654,Demon of the Dark (Earth-616),Secret,Bad,Male,Living,1972.0
3655,Demonicus (Mordo's Apprentice) (Earth-616),,Bad,Male,Living,1965.0
3656,Demonio (Wrestler) (Earth-616),,,Male,Living,1979.0
3657,Dempsey (Earth-616),Secret,Neutral,Male,Deceased,1988.0
