Name,Identity,Alignment,Gender,Status,Year
Daphne von Wilkinson ,No Dual,Bad,Female,Deceased,1975
Dar Mal Goth ,,Bad,Male,Living,1992
Dar-Benn ,No Dual,Neutral,Male,Deceased,1991
Dara ,Public,Good,Male,Living,1984
Dara ,Public,Bad,Male,Deceased,1954
Dara Ko Eke ,Secret,Good,Female,Living,2010
Daramulum ,Secret,Neutral,Male,Living,2009
Daraxus Dax ,Public,Neutral,Male,Living,2010
Darby Dean ,Public,Neutral,Male,Living,1988
Darcia ,Public,Good,Female,Living,1996
Darco ,Secret,Good,Male,Living,1999
Darg ,Public,Bad,Male,Living,1994
Dargil ,Secret,Bad,Male,Living,1998
Dargin Bokk ,Secret,Bad,Male,Living,1992
Daria ,,,Female,Living,1996
Darian Elliott ,,Good,Male,Deceased,2001
Darick Gallhager ,Secret,,Male,Living,2003
Darin ,Public,Good,Male,Living,1982
Darin II ,Public,Good,Male,Living,2000
Dario Agger ,Secret,Bad,Male,Living,
Darius Faraz ,,,Male,Living,2007
Darius Venginian ,Public,Bad,Male,Living,1999
Darius Zorn ,Public,Bad,Male,Living,1960
Dark ,,,Female,Living,1994
Dark Dweller ,,Bad,Male,Living,1990
Dark Hunter ,,Bad,,Living,1997
Dark Legion ,Secret,Bad,Male,Living,1993
Dark Overlord ,Secret,Bad,Male,Living,
Dark Rider ,Secret,Bad,Male,Living,1976
Dark Tower ,Secret,Bad,Male,Living,1993
Dark-Crawler ,Secret,Bad,Male,Living,1970
Darklore ,Secret,Good,Male,Living,1993
Darkstrider ,Secret,Bad,Male,Living,2011
Darla Deering ,Public,Good,Female,Living,2012
Darlene ,Public,Bad,Female,Living,2010
Darlene ,No Dual,,Female,Living,2007
Darlene Dunderbeck ,Public,Good,Female,Living,1985
Darlene Sims ,Secret,,Female,Deceased,2008
Darlene Wright ,Secret,Neutral,Female,Living,2012
Darnak ,,,Male,Living,1977
Darrel Daniel ,Public,,Male,Deceased,1974
Darren Bentley ,Secret,Bad,Male,Deceased,1970
Darren Cross ,No Dual,Bad,Male,Deceased,1979
Darren Mitchell ,Secret,Good,Male,Living,2000
Daryl Andrews ,,,Male,Living,1992
Daryl Kane ,,Bad,Male,Living,1983
Daryl Taylor ,Public,Good,Male,Deceased,1992
Daryll Smith ,Public,,Male,Living,1997
Dashak ,No Dual,Good,Male,Living,
Dasra ,Public,Bad,Male,Living,
Davan Shakari ,Secret,Bad,Male,Living,1976
Dave ,,,Male,Living,
Dave ,Public,,Male,Living,1965
Dave ,Public,,Male,Living,1966
Dave ,,,Male,Living,
Dave Cambell ,No Dual,Neutral,Male,Deceased,2003
Dave Carson ,Public,Good,Male,Living,1948
Dave Chatterton ,,Neutral,Male,Deceased,1985
Dave Finn ,Secret,Good,Male,Living,2002
Dave of Santa Monica ,Public,,Male,Living,1988
Davey Drew ,Public,Good,Male,Living,1941
Davey Jones ,Secret,,Male,Living,1961
David ,Secret,Good,Male,Living,
David Alleyne ,Secret,Good,Male,Living,2003
David Angar ,Secret,Good,Male,Deceased,1973
David Anthony Rice ,Secret,Bad,Male,Living,1994
David Arnstead ,Public,Good,Male,Living,1971
David Beiderbecke ,,Good,Male,Living,2006
David Bond ,Secret,Good,Male,Living,
David Breyer ,,Bad,Male,Living,1996
David Brinkley ,Public,Neutral,Male,Living,1967
David Cannon ,Public,Bad,Male,Living,1963
David Cannon ,,Bad,Male,Living,1997
David Carter ,,,Male,Living,1972
David Christopher Bank ,Secret,Good,Male,Living,1994
David Cox ,Public,Good,Male,Living,1973
David Dean ,No Dual,Good,Male,Living,1940
David Eshcol ,No Dual,Good,Male,Deceased,1974
David Ferrari ,Secret,Bad,Male,Living,1999
David Garrett ,Public,Bad,Male,Deceased,2006
David Gonzales ,,Good,Male,Living,2008
David Green ,Secret,Good,Male,Living,2009
David Griffith ,No Dual,Good,Male,Living,1972
David Haller ,Secret,Good,Male,Living,1985
David Hilbert ,Public,Bad,Male,Living,1987
David Ishima ,Public,Good,Male,Living,1981
David Jenkins ,,,Male,Living,2005
David Johnson ,Public,Neutral,Male,Living,1944
David Kalen ,Secret,,Male,Living,1996
David Knox ,Public,,Male,Living,2005
David Laramee ,Public,,Male,Living,1951
David Larnum ,Secret,Bad,Male,Living,1948
David Letterman ,No Dual,Good,Male,Living,1984
David Lieberman ,Secret,Neutral,Male,Deceased,1987
David Lowell ,Secret,Neutral,Male,Living,1997
David Michael Gray ,Public,Bad,Male,Deceased,2012
David Mitchell ,Secret,Good,Male,Living,1978
David Montgomery ,Public,,Male,Living,2002
David Moreau ,Public,Bad,Male,Deceased,1988
David Munroe ,Secret,Good,Male,Deceased,1976
David Munroe II ,Public,Good,Male,Living,2006
David Pennant ,Secret,Bad,Male,Living,1993
David Pike ,,Bad,Male,Living,1989
David Rand ,Public,Good,Male,Living,1939
David Rickford ,Secret,Good,Male,Living,2011
David Roberts ,Secret,Neutral,Male,Living,1993
David Slowman ,Public,,,Deceased,1990
David Sorenson ,No Dual,Bad,Male,Deceased,1977
David Stack ,Secret,Good,Male,Living,1987
David Thompson ,Public,Good,Male,Living,1986
David Walsh,Public,Bad,Male,Living,2012
David Weiss ,,,Male,Living,
David Weiss ,,,Male,Living,1988
David Wu ,Public,Good,Male,Living,1980
Davida DeVito ,Public,Neutral,Female,Living,1979
Davis ,,,Male,Deceased,2003
Davis Cameron ,Secret,,Male,Living,2001
Davis Harmon ,,Bad,Male,Deceased,2009
Davis Lawfers ,Secret,Bad,Male,Living,1988
Dawn ,Secret,,Female,Living,1993
Dawn Fury ,,,Female,Living,1967
Dawn Greenwood ,No Dual,Good,Female,Living,
Dawn Middlebury ,,Bad,Female,Living,1986
Dawn Star ,Public,Good,Female,Deceased,1954
Dawn Starr ,,,Female,Living,1980
Daydra ,Public,Good,Female,Living,1969
Daystar ,Public,,Male,Living,2007
Daze ,Public,Bad,Male,Living,1994
Ddraig Goch ,Public,Good,Male,Living,2007
De'Lila ,Secret,Bad,Female,Living,1990
De'zean ,No Dual,Bad,Male,Deceased,2005
DeHalle ,Secret,Bad,Female,Living,2008
DeMarr Davis ,Public,,Male,Living,1989
Deacon ,Secret,Bad,Male,Living,1965
Deacon ,Public,Bad,Male,Living,2008
Deacon Frost ,Public,Bad,Male,Deceased,1973
Dead Girl ,Secret,Good,Female,Deceased,2002
Dead Shot ,,Bad,Male,Living,1939
Deadaim ,,Bad,Male,Living,1994
Deadbolt ,Secret,Bad,Male,Deceased,1994
Deadpool ,Secret,Neutral,Male,Living,1991
Deadshot Darrance ,Secret,Bad,Male,Living,1983
Dean Boswell ,Secret,Good,Male,Deceased,2003
Dean Corliss ,No Dual,Good,Male,Living,1965
Dean Helm ,Secret,Bad,Male,Living,1983
Dean Prentiss ,No Dual,Bad,Male,Living,1954
Dean Swayvrick ,Public,Neutral,Male,Deceased,1994
Dean Tarlek ,Secret,Bad,Male,Living,1944
Deanna Stockbridge ,,,Female,Deceased,1999
Death ,Secret,Bad,Male,Deceased,2013
Death Ninja ,Secret,Bad,Male,Deceased,1990
Death Reaper ,Secret,Bad,Female,Living,2009
Death Tiger ,Secret,Bad,Male,Deceased,2007
Death's Head ,Secret,Good,Male,Living,2010
Death-Stalker ,,Bad,Female,Living,2012
Deathcharge ,Secret,Bad,Male,Living,1994
Deathlok ,,Neutral,,Deceased,1979
Deathunt 9000 ,Secret,Bad,Male,Living,1992
Deathurge ,Secret,Bad,Male,Living,1981
Deathwalker Prime ,No Dual,Bad,Agender,Living,
Deathwatch ,Secret,Bad,Male,Living,1990
Deathwings,,Bad,,Living,1979
Deb Lowry ,,Bad,Female,Living,1986
Deborah & Donald Ritter ,Secret,Good,,Living,1991
Deborah Bertrand ,Secret,Bad,Female,Living,2004
Deborah Fields ,Public,Good,Female,Living,2005
Deborah Green ,,Good,Female,Living,2008
Deborah Harris ,Public,Good,Female,Living,1965
Deborah Kinney ,Secret,Neutral,Female,Living,2005
Deborah Summers ,Secret,Good,Female,Living,1983
Debra ,Public,Neutral,Female,Living,1999
Debra Crovi ,,Good,Female,Living,1996
Debra Levin ,Public,Good,Female,Living,1990
Debra Whitman ,No Dual,,Female,Living,1979
Decimus Furius ,Secret,Bad,Male,Deceased,2010
Declan McGuinness ,Secret,Bad,Male,Living,2010
Deconsecrator ,,Bad,Male,Living,2012
Dee Milo ,Public,Good,Female,Deceased,2002
Deena Drayson ,Public,Good,Female,Living,1942
Deep-Sea Fungus ,,,,Living,1963
Defiler ,Secret,,Male,Living,1988
Degrayde ,Public,Bad,Male,Living,1981
Dei Guan ,Secret,Good,Male,Living,1988
Deidre Wentworth ,Secret,Bad,Female,Living,2011
Deidre Wentworth ,Secret,Bad,Female,Living,1991
Deilla ,Public,Good,Female,Living,1990
Deimne ,,Good,Male,Living,2007
Deimos ,,,Male,Living,1991
Deke ,Public,Good,Male,Living,2012
Deko ,Public,Bad,Male,Deceased,2007
Delandra ,,Neutral,Female,Living,1975
Delbert ,Secret,Bad,Male,Living,1992
Delia Childress ,Public,Bad,Female,Living,1981
Delilah ,Secret,Bad,Female,Living,1996
Delilah Dearborn ,Public,,Female,Living,1996
Della Mason ,No Dual,Bad,Female,Living,1948
Delmurio ,Public,,Male,Deceased,1985
Delphan Brothers ,Secret,Good,Male,Living,1977
Delphi ,Public,Good,Female,Living,1999
Delphi ,Secret,Neutral,Female,Living,2007
Delphi ,Secret,Good,Female,Living,1991
Delphic ,Secret,Neutral,Female,Living,2011
Delphis ,Secret,Good,Male,Living,1997
Delphos ,Secret,Neutral,Female,Living,2000
Delphyne Gorgon ,No Dual,Neutral,Female,Living,2008
Delroy Garrett Jr. ,Secret,Good,Male,Living,1998
Delta Nine ,No Dual,Good,Male,Living,1991
Deluge ,Secret,Bad,,Living,1994
Delusion ,Secret,Bad,Male,Living,1993
Delusionaut ,Secret,Neutral,Male,Living,
Demarest Dodds ,Public,Neutral,Male,Living,1948
Demeityr ,Public,Good,Male,Living,1989
Dementia ,Secret,Neutral,Female,Living,1993
Demetrius Lazer ,Public,Bad,Male,Deceased,2006
Demetros ,,,Male,Living,1974
Demitrius ,Secret,Bad,Male,Living,1971
Demitrius Collins ,Public,Good,Male,Living,1998
Demiurge ,,,,Living,1982
Demogoblin ,Secret,Neutral,Male,Deceased,1989
Demolisher ,Public,Neutral,,Living,1968
Demon ,Secret,Bad,Male,Living,1941
Demon ,,,Female,Deceased,1988
Demon ,,Bad,Male,Living,1965
Demon Bear ,Secret,Bad,Male,Living,1983
Demon Riders ,,Bad,,Living,1967
Demon from the Deep ,Secret,Bad,Male,Living,1952
Demon of the Dark ,Secret,Bad,Male,Living,1972
Demonicus ,,Bad,Male,Living,1965
Demonio ,,,Male,Living,1979
Dempsey ,Secret,Neutral,Male,Deceased,1988
Den Vakre ,Secret,Bad,Female,Living,2011
Denak ,,Bad,Male,Living,1993
Dendrok ,Public,Good,Male,Living,2010
Denebo Aruc III ,Public,,Male,Deceased,2006
Deng Ling-Xiao ,,Bad,Male,Deceased,1997
Denham ,,,Male,Deceased,2001
Denis Nayland Smith ,Secret,Good,Male,Deceased,1973
Denise Baranger ,Secret,Bad,Female,Deceased,1978
Denise Havens ,Secret,Good,Female,Living,1995
Dennis Bukowski ,No Dual,Neutral,Male,Living,1980
Dennis Burton ,Secret,Good,Male,Living,1940
Dennis Golembuski ,Secret,Bad,Male,Living,2002
Dennis Hogan ,,,Male,Deceased,1995
Dennis Hoxie ,,,Male,Living,2006
Dennis Kellard ,,Bad,Male,Living,2006
Dennis Malloy ,Secret,Bad,Male,Living,1989
Dennis Murray ,Public,,Male,Living,2007
Dennis Piper ,Secret,Good,Male,Living,2011
Dennis Sykes ,Public,Good,Male,Deceased,2010
Dennis Wells ,,Good,Male,Living,2012
Denny Drake ,Secret,Bad,Male,Living,2008
Denton Phelps ,Secret,Bad,Male,Deceased,1979
Denton Smith ,Public,Bad,Male,Living,1948
Dephine ,Secret,Good,Female,Living,1981
Depth Charge ,Secret,Neutral,Male,Living,1993
Deputy Charlie ,Public,Bad,Male,Living,2010
Derath'ath ,,,Male,Deceased,1976
Derek Bishop ,Public,Neutral,Male,Living,2005
Derek Freeman ,No Dual,Good,Male,Living,1986
Derek Khanata ,Public,Good,Male,Living,2005
Derek Malloy ,No Dual,Bad,Male,Deceased,
Derek McDowell ,Public,Bad,Male,Deceased,1973
Derek Petrie ,Secret,Bad,Male,Living,2007
Derek Smalls ,Secret,Bad,Male,Deceased,1995
Derek Zheng ,Public,Good,Male,Living,2003
Derenik Zadian ,Public,Bad,Male,Deceased,
Derrick Beacon ,Secret,,Male,Living,
Derrick Dawes ,Public,Good,Male,Living,1942
Derrick Richardson ,,Neutral,Male,Deceased,2009
Derrick Wainscroft ,Secret,Bad,Male,Living,1991
Derry Campbell ,,,Female,Deceased,2006
Dervish ,Secret,Bad,Female,Living,2003
Dervish ,Secret,,Male,Living,2004
Derwyddon ,,,Male,Living,1985
Desak Sterixian ,,Bad,Male,Living,2001
Desidera ,No Dual,Good,Female,Living,2007
Desinna ,Secret,Bad,Female,Living,1975
Desiree Winthrop ,Public,Good,Female,Living,1996
Desmond Alexander ,Secret,Bad,Male,Deceased,2007
Desmond Charne ,Public,Bad,Male,Living,1976
Desmond Drew ,Secret,Bad,Male,Living,1974
Desmond Kline ,Public,Neutral,Male,Deceased,1994
Desmond Marrs ,Public,Bad,Male,Deceased,1990
Desmond Pitt ,Secret,Neutral,Male,Living,1974
Desolation ,Secret,Bad,Female,Deceased,2000
Destiny Gonzales ,Public,Neutral,Female,Deceased,2003
Destructon ,,Bad,,Living,1968
Detective Brady ,Secret,Bad,Male,Living,1945
Detective Fant\u00f4me ,Secret,Good,Male,Living,2007
Detective Flint ,Secret,Good,Male,Living,1981
Detective Fontana ,Public,,Male,Living,2007
Detective Kurtz ,Public,Good,Male,Living,2007
Detective Simon ,Public,,Male,Living,2007
Detlef Metzger ,Public,Bad,Male,Living,2010
Deuce ,Public,Good,Male,Living,1997
Deuteronomy ,No Dual,Bad,,Living,2002
Devastator ,Secret,Good,Male,Living,
Devi Bannerjee ,Public,Good,Female,Living,1991
Devil ,Public,Good,Male,Living,1981
Devil Dinosaur ,Secret,Bad,Male,Living,2007
Devil Dinosaur ,Secret,Bad,Male,Living,2009
Devil Rig ,Secret,,Male,Living,2009
Devil of the Lagoon ,Public,Bad,,Deceased,1953
Devil's Heart ,Secret,Bad,,Deceased,1975
Devil-Spider ,Secret,Bad,Male,Living,2013
Devin Touhy ,Secret,Good,Male,Deceased,2010
Devlin DeAngelo ,Public,Bad,Male,Living,1998
Devlor ,Secret,Good,Male,Living,1994
Devlunn ,Public,Bad,Male,Living,1981
Devo ,Secret,Bad,Male,Living,2006
Devon Alomar ,,,Male,Living,1999
Devon Ballantine ,,Good,Male,Living,1992
Devon Lewis ,Public,,Male,Living,1996
Devos ,Secret,Bad,Male,Living,1991
Devron ,,Neutral,,Living,2005
Devros ,Public,Bad,Male,Living,1997
Dewey ,Public,,Male,Living,1988
Dewlap ,,Good,,Living,1986
Dewoz ,Public,,Male,Living,1998
Dex ,No Dual,,Male,Living,2005
Dex ,,,Male,Living,2007
Dexam ,Public,Bad,Male,Living,1998
Dexter Bennett ,No Dual,Neutral,Male,Living,2008
Dexter Parrish ,,Bad,Male,Living,1998
Dexter Quentin ,Public,Good,Male,Living,1981
Dexter Rayne ,,,Male,Living,1989
Dezan ,No Dual,Good,Male,Living,
Dezmond Harris ,Public,Good,Male,Living,2006
Dharr ,,Bad,Male,Living,2008
Dhasha Khan ,No Dual,Bad,Male,Deceased,1975
Dherk ,Secret,Bad,Male,Living,1981
Diableri ,,,Male,Deceased,2007
Diablo ,Public,,Male,Living,1949
Diablo ,Secret,Bad,Male,Living,1960
Diabolique ,Secret,Bad,Female,Living,1993
Diamond Head ,Secret,Bad,Male,Living,1970
Dian Wilkins ,,Good,Female,Living,1976
Diana Knight ,Public,Neutral,Female,Living,2000
Diana Lanford ,Public,Good,Female,Living,1940
Diane Arliss ,,Good,Female,Living,1968
Diane Carson ,Public,Good,Female,Living,1940
Diane Cummings ,Public,Good,Female,Living,1961
Diane Davids ,Secret,Bad,Female,Living,1988
Diane Lamarr ,Public,Good,Female,Living,1982
Diane Perrywinkle ,Public,Good,Female,Living,1979
Dianna Ferrule ,Public,Good,Female,Living,1943
Dianne Bellamy ,,Neutral,Female,Living,1986
Diavolo ,Secret,Bad,Male,Deceased,1945
Dibbuk ,,Bad,Male,Living,1977
Dibdeb ,Public,Neutral,Male,Living,2000
Dicero ,Secret,Good,Male,Living,2008
Dick ,,Good,Male,Living,2002
Dick Chalker ,Secret,Bad,Male,Deceased,1993
Die'ode ,,Bad,Male,Living,1991
Diego Ardilles ,,,Male,Deceased,2001
Diego Casseas ,Secret,Bad,Male,Living,1991
Diego Manero ,Public,Bad,Male,Living,1943
Diego Sandoval ,Public,Neutral,Male,Living,2001
Diemoas ,Public,,Male,Living,2009
Dieter Lehmann ,No Dual,Good,Male,Deceased,2011
Dieter Skul ,Public,Bad,Male,Living,2011
Dieter Steinhauer ,Secret,Bad,Male,Living,1988
Dietmar Stock ,Secret,Bad,Male,Living,1943
Difference Engine ,Public,Good,Male,Living,2007
Digger ,Secret,Good,Male,Living,1943
Digger ,Secret,Bad,Male,Living,
Digger ,Public,Bad,Male,Living,2003
Dilbert Trilby ,Public,,Male,Living,1993
Dillon Zarro ,Secret,Bad,Male,Living,1988
Dima Alekov Kaganitzky ,Secret,,Male,Deceased,1994
Dimitri Bukharin ,Secret,,Male,Living,1978
Dimitri Fortunov ,Public,Good,Male,Living,1997
Dimitri Kantov ,Secret,Bad,Male,Deceased,2007
Dimitri Smirkov ,Secret,Bad,Male,Living,2007
Dimitrios ,Public,Bad,Agender,Living,
Dimitriy Rasputin ,,,Male,Deceased,2005
Dina ,,,Female,Living,1987
Dinah Soar ,Secret,Good,Female,Deceased,1989
Dino Manelli ,Public,Good,Male,Deceased,1963
Dinu ,Public,Neutral,Male,Living,1998
Diomedes ,,,Male,Living,1979
Dione ,,,Female,Living,
Dionysus ,,Bad,Male,Living,1979
Dionysus Acratophorus ,Secret,Good,Male,Living,1949
Director Colvin ,,Good,Male,Living,2011
Director Gruenwald ,,,Male,Living,2008
Director X ,Secret,Neutral,Male,Living,1997
Director of Death ,Public,Bad,Male,Deceased,1944
Dirge ,Secret,Bad,Male,Deceased,2000
Dirge ,,Bad,Male,Deceased,1996
Dirk Anger ,No Dual,Neutral,Male,Living,2006
Dirk Garthwaite ,Secret,Bad,Male,Living,1968
Dirk Leydon ,,Bad,Male,Living,1993
Dirtnap ,Secret,Bad,Male,Living,1995
Dirty Wolff ,,,Male,Living,2000
Discharge ,,,,Living,2008
Disha Khan ,Public,Neutral,Female,Living,
Dismember ,Secret,Bad,Male,Living,1997
Disprosium ,,Bad,,Living,1997
Disthora ,,,Female,Deceased,2013
Ditmal Pirvat ,Secret,Neutral,Male,Living,1990
Ditto ,Secret,Good,Male,Living,2004
Divad ,Secret,Neutral,Male,Living,1992
Dive-Bomber ,Secret,Bad,Male,Deceased,1988
Divinity ,Secret,,Male,Living,2000
Dixie ,,Good,Female,Deceased,2006
Dixie ,Public,,Female,Living,2002
Dizzy Daze ,Secret,Bad,Male,Living,1949
Django Maximoff ,,,Male,Living,1977
Dmitri Ivankov ,Public,Bad,Male,Living,2009
Dmitri Petrovich ,Public,Bad,Male,Living,1992
Dmitri Smerdyakov ,Secret,Bad,Male,Living,1963
Doc ,Public,Neutral,Male,Living,2004
Doc ,,Bad,Male,Living,1981
Doc ,,Good,Male,Living,2011
Doc ,Secret,Bad,Male,Living,1992
Doc Neutron ,Secret,Bad,Male,Living,
Doc Watson ,,Good,Male,Living,1972
Docteur Q ,Secret,Good,Male,Living,2007
Doctor Anderson ,Public,,Male,Living,1985
Doctor Botan ,Public,Bad,Male,Deceased,1944
Doctor Brucknerr ,Public,Bad,Male,Living,1995
Doctor Castillo ,Secret,Good,Female,Living,2005
Doctor Chowder ,Public,Good,Male,Deceased,1980
Doctor Colosso ,Secret,Bad,Male,Deceased,1945
Doctor Daedalus ,,Bad,Male,Deceased,1980
Doctor Demise ,Public,Bad,Female,Living,1948
Doctor Dill ,Public,Bad,Male,Living,1949
Doctor Don ,Public,,Male,Living,1985
Doctor Drearr ,Public,Bad,Male,Deceased,1948
Doctor Dredd ,Secret,Bad,Male,Deceased,1983
Doctor Eternity ,Secret,Bad,Male,Living,1943
Doctor Feerce ,Public,Bad,Male,Deceased,1946
Doctor Foster ,Public,Bad,Male,Deceased,1942
Doctor Foster ,,,Male,Deceased,2006
Doctor Frankenstein ,Public,Good,Male,Living,1944
Doctor Goodwrench ,Secret,Neutral,Male,Living,
Doctor Graham ,,Good,Male,Living,1962
Doctor Grant ,Public,Bad,Male,Deceased,1943
Doctor Grimm ,Public,Bad,Male,Deceased,1941
Doctor Hades ,Secret,Bad,Male,Deceased,1945
Doctor Hatton ,Public,Neutral,Male,Living,1990
Doctor Herzog ,Public,Bad,Male,Deceased,1945
Doctor Howard ,Secret,Bad,Male,Living,1941
Doctor Hyde ,Public,Bad,Male,Living,1941
Doctor Janssen ,Public,,Female,Living,1999
Doctor Jiroult ,,Bad,Male,Living,2003
Doctor Jorlstead ,Secret,Bad,Male,Deceased,1942
Doctor Karlbad ,Public,Bad,Male,Living,1964
Doctor Kettlewell ,,Good,Male,Living,
Doctor Kissick ,,Neutral,Male,Living,1981
Doctor Klutch ,Public,Bad,Male,Living,1942
Doctor Kronton ,Secret,,Male,Deceased,1970
Doctor Krypt ,Secret,Neutral,Male,Living,1997
Doctor Kurarkill ,,Bad,Female,Deceased,1975
Doctor Lammon ,Secret,Bad,Male,Deceased,1945
Doctor Leery ,Secret,Bad,Male,Deceased,2006
Doctor Lin ,Public,Good,Male,Deceased,1941
Doctor Locke ,Secret,Bad,Male,Living,2007
Doctor Lorrof ,Public,Bad,Male,Deceased,1941
Doctor Luville ,Public,Bad,Male,Deceased,1944
Doctor Macabre ,Public,Bad,Male,Living,1948
Doctor Manyac ,,Bad,Male,Deceased,1940
Doctor Markov ,Public,Bad,Male,Deceased,1954
Doctor Mefis ,Public,Bad,Male,Living,1942
Doctor Mime ,Secret,,Male,Living,2000
Doctor Mobius ,Secret,Neutral,Male,Living,1997
Doctor Mundt ,,,Male,Living,1996
Doctor Narr ,,Bad,Male,Deceased,1940
Doctor Necrosis ,Public,Bad,Male,Deceased,1944
Doctor Nichi ,Public,Bad,Male,Deceased,1945
Doctor Nitro ,Secret,Bad,Male,Living,1945
Doctor Noc ,Secret,Bad,Male,Deceased,2010
Doctor Ogada ,Secret,,Male,Living,1997
Doctor Pow ,,Neutral,Male,Living,2002
Doctor Rogan ,Public,,Male,Living,2002
Doctor Satan ,Secret,Bad,Male,Living,2010
Doctor Saturn ,Secret,Bad,Male,Living,1955
Doctor Scarabeus ,Secret,Bad,Male,Living,1979
Doctor Scarr ,Public,Bad,Male,Living,1944
Doctor Shiner ,Public,,,Living,1989
Doctor Smart ,Secret,Bad,Male,Living,1941
Doctor Snodgrass ,Public,,Female,Living,1989
Doctor Stack ,No Dual,Bad,Male,Deceased,1988
Doctor Strasser ,Public,Bad,Male,Deceased,1942
Doctor Suki ,Public,Bad,Male,Living,1942
Doctor Suki ,Public,Bad,Male,Living,1943
Doctor Sun ,Secret,Bad,Male,Deceased,1974
Doctor Tambura ,Secret,Good,Male,Deceased,1979
Doctor Tannenbaum ,,Bad,Male,Living,2005
Doctor Throttle ,Secret,Bad,Male,Living,1945
Doctor Togu ,Public,Bad,Male,Deceased,1942
Doctor Tramma ,,Bad,Female,Living,2008
Doctor Van Eyck ,,Good,Male,Deceased,1965
Doctor Watson ,Public,Good,Male,Living,1940
Doctor Weems ,Secret,Bad,Male,Deceased,1941
Doctor Weird ,Secret,Bad,Male,Living,
Doctor Weisman ,,Bad,Female,Living,1995
Doctor Yen ,,Bad,Male,Living,1966
Doctor Yesterday ,Secret,Bad,Male,Living,1994
Doctor Yokotio ,Public,Bad,Male,Deceased,1944
Doctor Zeus ,Secret,Bad,Male,Living,1997
Doctor von Helstog ,Public,Bad,Male,Deceased,1945
Doctorangutan ,Public,Bad,Male,Deceased,2003
Doe Eyes ,Public,Good,Female,Living,1954
Doeke Riebeeck ,Public,Bad,Male,Living,1989
Dog ,Secret,,Male,Living,
Dog Logan ,No Dual,Bad,Male,Living,2001
Doggerel ,,Bad,Male,Living,1994
Dogma ,Secret,Bad,Male,Living,2002
Doka ,Secret,Bad,Male,Deceased,1993
Doktor Schwartz ,,,Male,Living,1987
Dolly Donahue ,Public,Good,Female,Living,1980
Dolly Donohue ,Public,Good,Female,Living,1980
Dolores Downing ,,,Female,Deceased,2011
Dolph Dongen ,,,Male,Living,1996
Domina ,Secret,Bad,Female,Deceased,2000
Dominex ,,Bad,,Living,1999
Domini ,Secret,,Female,Living,1976
Dominic Destine ,Secret,Good,Male,Living,1994
Dominic Dunsinane ,Secret,Bad,Male,Living,1977
Dominic Tyrone ,Secret,Bad,Male,Deceased,1980
Dominicus Pierce ,,Neutral,Male,Living,2005
Dominikos Petrakis ,Secret,Neutral,Male,Deceased,1981
Dominique Levant ,,Bad,Male,Living,1998
Dominor ,,Bad,Male,Deceased,1986
Dominor ,Public,,Male,Living,1972
Dominus ,,Bad,,Living,1966
Domitian ,Secret,Bad,Male,Living,1995
Domo ,No Dual,,Male,Living,1976
Don ,,Good,Male,Deceased,1987
Don ,,,Male,Living,1981
Don Caldwell ,Secret,Good,Male,Living,1942
Don Heck ,Public,Neutral,Male,Living,1968
Don Hertz ,Secret,Bad,Male,Living,1963
Don Johnson ,Public,Neutral,Male,Living,1988
Don Jose Del Iturbide ,Secret,Good,Male,Living,1952
Don Marshall ,Secret,Bad,Male,Deceased,1942
Don Parisi ,Secret,Neutral,Male,Living,2004
Don Reinman ,Secret,Bad,Male,Living,1941
Don Remming ,Secret,Neutral,Male,Living,1985
Don Rigoletto ,,Bad,Male,Deceased,1993
Don Russell ,Secret,Bad,Male,Living,1962
Don Stevens ,Secret,Good,Male,Deceased,1941
Don Thomas ,Secret,Neutral,Male,Deceased,1978
Don Winston ,,,Male,Living,
Donald Birch ,Secret,Bad,Male,Deceased,1965
Donald Blake ,No Dual,Good,Male,Living,1962
Donald Blake ,No Dual,Good,Male,Living,1996
Donald Blake ,,,Male,Deceased,1994
Donald Callahan ,Secret,Bad,Male,Living,2000
Donald Clendenon ,Secret,Neutral,Male,Living,1992
Donald Gill ,Public,Neutral,Male,Living,1987
Donald Jones ,,Bad,Male,Living,1963
Donald Lamaze ,No Dual,Good,Male,Deceased,2013
Donald McGill ,Public,Bad,Male,Living,1986
Donald Meland ,No Dual,Good,Male,Living,2012
Donald Menken ,No Dual,Neutral,Male,Living,1983
Donald Pierce ,Secret,Bad,Male,Deceased,1980
Donald Planet ,,Bad,Male,Living,1982
Donald Sample ,Public,Good,Male,Deceased,1972
Donald Smithfield ,Public,Good,Male,Living,1992
Donald Trask III ,Public,Bad,Male,Deceased,2001
Dondi Reese ,Public,Neutral,Female,Living,2005
Donna Altieri ,,Good,Female,Living,2006
Donna Bliss ,Secret,,Female,Living,1999
Donna Diego ,Secret,Neutral,Female,Deceased,1993
Donna Garth ,Public,,Female,Living,1953
Donna Kiel ,,Neutral,Female,Living,2011
Donna Maria Puentes ,Public,Good,Female,Living,1977
Donna Strange ,Public,Neutral,Female,Living,1989
Donna-Lee Dover ,,Neutral,Female,Living,1976
Donovan Gorman ,Public,Good,Male,Living,1940
Donovan Zane ,Public,Bad,Male,Living,1997
Dontrell Hamilton ,Secret,Bad,Male,Living,1975
Donyell Taylor ,Secret,Good,Male,Living,1993
Doombot ,Public,Good,Male,Living,
Doombringer ,Secret,Bad,,Living,1997
Doomsday Man ,Secret,Bad,Male,Living,1970
