,Name,Connections,Identity,Alignment,Gender,Status,Year
1572,Sledge,31,Secret,,Male,Living,1996.0
1573,Proteus Ii,31,,,,,
1574,Crimson Dynamo Iii,31,,,,,
1575,"Nagan, Dr. Arthur",31,,,,,
1576,"Santini, Dr. Jose",31,,,,,
1577,Light,31,Secret,Bad,Male,Living,1987.0
1578,"Powell, Jason",31,,,,,
1579,Digger,31,Secret,Good,Male,Living,1943.0
1580,Blade,31,,,,,
1581,Gatecrasher,31,,,,,
1582,Strong Guy Doppelgan,31,,,,,
1583,Power Man Ii | Mutan,31,,,,,
1584,"Shorr, Jacqueline",31,,,,,
1585,Riger,31,Secret,Good,Male,Living,1994.0
1586,Equilibrius,31,Secret,,Male,Living,1969.0
1587,"Mckenzie, Lydia",31,,,,,
1588,Bruto The Strongman,31,,,,,
1589,August Personage In ,31,,,,,
1590,Vindaloo,31,,,,,
1591,"Cassada, Michael",31,,,,,
1592,Montana,31,,,,,
1593,"Cassada, Roberto",31,,,,,
1594,Empress S'Byll [Skru,31,,,,,
1595,"Sturdy, Prof. Kennet",31,,,,,
1596,Zarin,31,Secret,Neutral,Male,Living,1977.0
1597,Cat Iii,31,,,,,
1598,General Obsidian,31,Secret,Bad,Male,Living,1994.0
1599,"Gilbert, Roxanne",31,,,,,
1600,Reptilla,31,Secret,Good,Female,Living,1977.0
1601,Merlin,31,,Good,,Living,1976.0
1602,Cynas,31,Public,,Female,Living,1995.0
1603,Sphinx Ii,31,,,,,
1604,"Damian, Dr. Daniel",31,,,,,
1605,D.O.A.,31,,,,,
1606,Inferno Iii,31,,,,,
1607,Orphan-Maker,31,Secret,Bad,Male,Living,1988.0
1608,"Alvarez, Paul",31,,,,,
1609,Phantazia,31,,,,,
1610,"Talbot, Maj. Matt",31,,,,,
1611,Skullbuster,31,Secret,Bad,Male,Living,1988.0
1612,Beautiful Dreamer,31,,,,Living,1999.0
1613,Gosamyr,31,Secret,,Female,Living,1988.0
1614,Avia,31,No Dual,,Female,Living,2007.0
1615,"Hochberg, Roger",31,,,,,
1616,"Holden, Dr. Samuel",31,,,,,
1617,Samedar,31,,,,,
1618,"Drake, William Rober",31,,,,,
1619,Cesium,31,,Bad,,Living,1997.0
1620,Pisces,30,Secret,Bad,Female,Living,1997.0
1621,4-D Man,30,,,,,
1622,Molten Man,30,,,,,
1623,Midas,30,,,,,
1624,Hemingway,30,Secret,Bad,Male,Deceased,1995.0
1625,Ticktock,30,,,,,
1626,"Jackson, Steve",30,,,,,
1627,Bloodscream,30,Secret,Bad,Male,Living,1989.0
1628,Hardcase,30,,,,,
1629,"Chaney, Amanda",30,,,,,
1630,Livewire,30,,,,,
1631,"Manelli, Dino",30,,,,,
1632,Bloodstone,30,,,,,
1633,"Sofen, Marion",30,,,,,
1634,Tongah,30,No Dual,Good,Male,Living,1970.0
1635,Dark,30,,,Female,Living,1994.0
1636,Bushwacker,30,,,,,
1637,Nemesis,30,,,,,
1638,Genii,30,,,,,
1639,Yeti,30,Secret,Neutral,Male,Living,1977.0
1640,"Chambers, Mr.",30,,,,,
1641,Wysper,30,,,,,
1642,Mangog,30,,Bad,Male,Living,1968.0
1643,"Wein, Len",30,,,,,
1644,"Reston, Clive",30,,,,,
1645,Hiromitsu,30,,Bad,Male,Deceased,2000.0
1646,"Blake, Dr. Donald (C",30,,,,,
1647,Mantis (Space Phanto,30,,,,,
1648,Europium,30,,Bad,,Living,1997.0
1649,Midget,30,,,,,
1650,Primus,30,Secret,Neutral,Male,Living,1977.0
1651,"Von Strucker, Werner",30,,,,,
1652,Right-Winger,30,,,,,
1653,Blizzard,30,,,,,
1654,"Winthrop, Desiree",30,,,,,
1655,Deathwatch,30,Secret,Bad,Male,Living,1990.0
1656,Jason Ii,30,,,,,
1657,"Clemson, Mike",30,,,,,
1658,"Strang, Col.",30,,,,,
1659,Scourge Ii,30,,,,,
1660,Hunch,30,,,,,
1661,Shakati,30,Public,,Male,Living,2000.0
1662,Cancer,30,,Bad,Male,Living,1998.0
1663,"Carpenter, Larry",30,,,,,
1664,Garokk,30,,Neutral,Male,Living,1970.0
1665,Ox,30,Secret,Bad,Male,Deceased,1950.0
1666,"Lebeau, Mercy",30,,,,,
1667,"Traveller, Dr. Judas",30,,,,,
1668,Naze,30,,Good,Male,Living,1984.0
1669,Pyllar,30,,Bad,Male,Living,1996.0
1670,Margoyle,30,Public,,Female,Living,1995.0
1671,"Pennyworth, J.C.",30,,,,,
1672,Polaris Doppelganger,30,,,,,
1673,"Martin, Ashley",30,,,,,
1674,Feron,30,,Good,Male,Living,1992.0
1675,Night Rider Iii,30,,,,,
1676,Solarr,29,,,,,
1677,Moonraker,29,Secret,,Male,Living,1995.0
1678,Ghost,29,Secret,Neutral,Male,Living,1987.0
1679,Phosphorus,29,,Bad,,Living,1997.0
1680,Sapphiras,29,Public,Neutral,Female,Living,1995.0
1681,Astra Ii,29,,,,,
1682,Prester John,29,Secret,Neutral,Male,Deceased,1966.0
1683,Mother Inferior,29,Secret,Neutral,Female,Deceased,1991.0
1684,Loga Ii,29,,,,,
1685,"St. Croix, Claudette",29,,,,,
1686,Chance Ii,29,,,,,
1687,Varua,29,,,,,
1688,Blind Al,29,Secret,Good,Female,Living,1997.0
1689,Fatale,29,Secret,Bad,Female,Living,1993.0
1690,Leo,29,Secret,Bad,Male,Living,1998.0
1691,"Fairmont, Amanda Man",29,,,,,
1692,K'Rk [Shi'Ar],29,,,,,
1693,"Urich, Doris",29,,,,,
1694,Thornn Ii,29,,,,,
1695,"Grant, Silas",29,,,,,
1696,"Macintosh, Ann",29,,,,,
1697,Coronary,29,,,,,
1698,"Rambeau, Maria",29,,,,,
1699,"Silvani, Vittorio",29,,,,,
1700,Jahf,29,,,,,
1701,Kangaroo Ii,29,,,,,
1702,"Cassada, Carlos",29,,,,,
1703,"Manolis, Lt. Nick",29,,,,,
1704,Beetle Robot,29,,,,,
1705,Captain Ultra,29,,,,,
1706,"Largo, Chief",28,,,,,
1707,Crippler,28,,,,Living,1990.0
1708,Barrage,28,,Bad,Male,Deceased,1991.0
1709,Razorback,28,,,,,
1710,Edda,28,,Neutral,Male,Living,1991.0
1711,T'Chaka,28,Public,Good,Male,Deceased,1966.0
1712,Krista,28,No Dual,Good,Female,Living,1973.0
1713,"Sloan, Fred",28,,,,,
1714,"Kale, Jennifer",28,,,,,
1715,Nina,28,,,,,
1716,"Storm, Chili",28,,,,,
1717,Oddball,28,,,,,
1718,"Alexander, Caleb",28,,,,,
1719,Sybyl Dorn,28,Secret,Bad,Female,Living,1991.0
1720,Conquest,28,,,,,
1721,"Caldrone, Javier",28,,,,,
1722,Krakoa,28,Secret,Bad,,Deceased,2010.0
1723,"Bentley, Victoria",28,,,,,
1724,Hauptmann Deutschlan,28,,,,,
1725,"Authier, Tracy Trace",28,,,,,
1726,Astra,28,Secret,Neutral,Female,Living,1977.0
1727,Blue Diamond,28,,,,,
1728,"Marrero, Ed",28,,,,,
1729,Terminus,28,Secret,Bad,Male,Living,1984.0
1730,"Blott, Brigadier Ink",28,,,,,
1731,Cutthroat,28,,,,,
1732,"Landers, Gena",28,,,,,
1733,Tokkots,28,,Bad,Male,Living,1999.0
1734,Druid,28,,,,,
1735,"Dean, Darby",28,,,,,
1736,"Khandruvitch, Dr. Va",28,,,,,
1737,"Malpher, Kathy",28,,,,,
1738,"Scratch, Nicholas",28,,,,,
1739,Blood Wraith,28,,,,,
1740,Jill,28,Secret,Neutral,Female,Deceased,1983.0
1741,Zelda,28,Public,Bad,Female,Living,2004.0
1742,"Alouette, Genard",28,,,,,
1743,Sentry Iii,28,,,,,
1744,"Case, Col. Preston",28,,,,,
1745,Deathlok,28,,Neutral,,Deceased,1979.0
1746,Maelen,28,,,,,
1747,"Locklin, Ben",28,,,,,
1748,Reignfire,28,,,,,
1749,Master Pandemonium,28,,,,,
1750,Decay Ii,28,,,,,
1751,"Byrne, John",28,,,,,
1752,Demonicus,28,,Bad,Male,Living,1965.0
1753,Sleeper,28,,,,,
1754,Wolverine 2013,28,,,,,
1755,"Jackson, Celia",28,,,,,
1756,"O'Breen, Glorianna",28,,,,,
1757,Wendigo Iii,28,,,,,
1758,"Jones, Tammy Anne",28,,,,,
1759,"Everett, Bill",28,,,,,
1760,Scarecrow,28,Secret,Bad,Male,Deceased,1949.0
1761,Prometheus Ii,28,,,,,
1762,Enrakt,28,Secret,Bad,Male,Living,1999.0
1763,Omega-20,27,,,,,
1764,Enforcer,27,,,,,
1765,Princess Sandella,27,,,,,
1766,Midnight Iii,27,,,,,
1767,Penance Iii,27,,,,,
1768,Blurry,27,,Bad,Male,Living,1998.0
1769,Letha,27,,,,,
1770,Grizzly Ii,27,,,,,
1771,"Dragonblood, Ulysses",27,,,,,
1772,Clarity,27,,,,,
1773,Trantra,27,,,,,
1774,Healer,27,Secret,Good,Male,Deceased,1984.0
1775,Kamo Tharnn,27,No Dual,Bad,Male,Deceased,1975.0
1776,"Jarzinho, Col. Edson",27,,,,,
1777,"Levin, Major Debra",27,,,,,
1778,Jack Frost,27,Secret,Good,Male,Living,1941.0
1779,Baron Blood Ii,27,,,,,
1780,"Beach, Spider",27,,,,,
1781,Bird Man Iii,27,,,,,
1782,Indium,27,,Bad,,Living,1997.0
1783,Sundown,27,,,,,
1784,Hargen,27,Secret,Neutral,Male,Living,1977.0
1785,Alfy,27,,,,,
1786,Star-Stalker,27,,,,,
1787,Eternal Brain,27,,Good,Male,Deceased,2012.0
1788,Zirconium,27,,Bad,,Living,1997.0
1789,"Edwards, Martin",27,,,,,
1790,Redeemer,27,Secret,Good,Male,Living,2012.0
1791,Dionysus [Greek God],27,,,,,
1792,"Trask, Lawrence Larr",27,,,,,
1793,Fawkes,27,,,,Living,2000.0
1794,"Agee, Dr. Aubrey",27,,,,,
1795,"Jones, Nell",27,,,,,
1796,"Ho, Li Muan",27,,,,,
1797,Byrrah [Atlantean],27,,,,,
1798,Fancy Dan,27,,,,,
1799,Tess-One,27,,,,,
1800,"Murdock, Sister Magg",27,,,,,
1801,"Simonson, Louise",27,,,,,
1802,"Byrnes, Gayle Watson",27,,,,,
1803,"Immortus, Marcus",27,,,,,
1804,Sat-Yr-9,27,,,,,
1805,Yap,27,,,,,
1806,Gargouille,27,,,,,
1807,"Steed, John",27,,,,,
1808,Stonecutter,27,,,,,
1809,Madame Menace,27,,,,,
1810,Hulk Robot,27,,,,,
1811,Dazzler,27,,,,,
1812,Portal,27,,,,,
1813,Roughhouse,27,,,,,
1814,"Royce, Jennie",27,,,,,
1815,Hulk | Mutant X-Vers,27,,,,,
1816,Admiral Protocol,27,,,,,
1817,"Quinn, Pamela",27,,,,,
1818,Kulan Gath,26,No Dual,Bad,Male,Living,1972.0
1819,"Ryan, Thomas",26,,,,,
1820,"Muto, Junzo",26,,,,,
1821,Lifeforce,26,Secret,Bad,Female,Deceased,1994.0
1822,Karkas | Mutant X-Ve,26,,,,,
1823,Fool,26,Secret,Bad,Male,Deceased,1991.0
1824,Grovel,26,Secret,,,Living,1997.0
1825,Gudrun [Asgardian],26,,,,,
1826,Perrikus,26,,Bad,Male,Living,
1827,"Boggs, Mordecai P.",26,,,,,
1828,Wrong,26,Secret,Bad,,Living,1994.0
1829,Bevatron,26,,,,,
1830,Frankenstein Monster,26,,,,,
1831,Gazelle,26,Secret,Good,Female,Deceased,1977.0
1832,Mountjoy,26,,,,,
1833,"Stanchek, Dr.",26,,,,,
1834,Bullet,26,,,,,
1835,"Hitler, Adolf",26,,,,,
1836,Citizen V,26,,,,,
1837,Sumo,26,,,,,
1838,Sister Chloe,26,,,,,
1839,Smokescreen,26,,Bad,Female,Living,1998.0
1840,Enraged,26,,,,,
1841,Glamour Girl,26,,,,,
1842,"Harris, Eddie",26,,,,,
1843,"Nocenti, Ann",26,,,,,
1844,Gog,26,,Bad,Male,Living,2009.0
1845,Vertigo,26,Secret,Good,Female,Living,1977.0
1846,Black Panther | Muta,26,,,,,
1847,"Kramer, Kenny",26,,,,,
1848,Scorpio Iv,26,,,,,
1849,"Dunham, Laura",26,,,,,
1850,"Jaye-Firestone, Ging",26,,,,,
1851,Minister Blood,26,,,,,
1852,Lady Of The Lake,26,,,,,
1853,"Drake, Carlton",26,,,,,
1854,Stinger Iii,26,,,,,
1855,Prism,26,Secret,Bad,Male,Living,1986.0
1856,Lilith Ii,26,,,,,
1857,"Lobo, Carlos",26,,,,,
1858,Ringer,26,Secret,Bad,Male,Living,
1859,Seth,26,Public,Good,Male,Living,1968.0
1860,Firearm,26,Secret,,Male,Living,1993.0
1861,"Deville, Arcadia",26,,,,,
1862,Brutus Ii,26,,,,,
1863,Grizzly,26,Secret,Bad,Male,Living,1969.0
1864,"St. Croix, Nicole",26,,,,,
1865,Brother Tode,26,,,,,
1866,Moonstalker,26,,,,,
1867,Benedict,26,Secret,Bad,Male,Living,1996.0
1868,Garthan Saal,26,,Good,Male,Deceased,1989.0
1869,Powerhouse,26,Secret,Bad,Female,Living,1991.0
1870,"Stalyenko, Col. Yuri",26,,,,,
1871,Rocketlauncher,26,,,,,
1872,Woz,26,,,,,
1873,"Cord, Janice",26,,,,,
1874,"Brawn, Tristan",26,,,,,
1875,Mysterio Ii,26,,,,,
1876,Tarantula,26,Secret,Bad,Male,Living,2002.0
1877,Agamotto,25,Secret,Neutral,Male,Deceased,1974.0
1878,"Banks, Sharon",25,,,,,
1879,Neptunium,25,,Bad,,Living,1997.0
1880,Boobytrap,25,,Bad,Male,Living,1998.0
1881,Night Rider,25,,,,,
1882,"Alden, Prof. Meredit",25,,,,,
1883,Left-Winger,25,,,,,
1884,Semijan,25,,,Male,Living,2000.0
1885,"Runciter, Gail",25,,,,,
1886,"Frost, Cordelia",25,,,,,
1887,Chimera Ii,25,,,,,
1888,Vesta,25,,,,,
1889,"Mccoy, Norton",25,,,,,
1890,Solar Wind,25,Secret,Neutral,Female,Living,1992.0
1891,Volla,25,Secret,Good,Female,Deceased,1966.0
1892,Nova Omega,25,,,,,
1893,"Cire, Eyla",25,,,,,
1894,Darkoth,25,,,,,
1895,Hulk Iii,25,,,,,
1896,"Hobbs, Harris",25,,,,,
1897,Ox Iii,25,,,,,
1898,Mainframe Ii,25,,,,,
1899,Bellam,25,Secret,Good,Male,Living,1994.0
1900,Splice,25,Secret,Bad,Male,Living,1991.0
1901,"Ward, Sen. Stewart",25,,,,,
1902,"Tanaka, Opal",25,,,,,
1903,Devil Dinosaur,25,Secret,Bad,Male,Living,2007.0
1904,Juvan,25,Secret,Bad,Male,Living,1990.0
1905,Fifolet,25,,,,,
1906,Risque,25,,,,,
1907,"Webster, Norm",25,,,,,
1908,Majeston Zelia,25,Secret,Bad,Female,Living,1998.0
1909,"Fredericks, General",25,,,,,
1910,Maha Yogi,25,Secret,Bad,Male,Living,1963.0
1911,Prince Rey,25,No Dual,Bad,Male,Deceased,1966.0
1912,Turk,25,,,,,
1913,"Twaki, Dr. Ted",25,,,,,
1914,"Indigo, Odysseus",25,,,,,
1915,Locus,25,,,,,
1916,"Joseph, Sheva",25,,,,,
1917,"Crawley, Betrand",25,,,,,
1918,Hellen,25,,,,,
1919,Stardust,25,,,,,
1920,"Stark, Howard",25,,,,,
1921,Quisling,25,,,,Living,2000.0
1922,"Cooper, Cole",25,,,,,
1923,Captain Hip,25,,,,,
1924,"Lumpkin, Wilhemina B",25,,,,,
1925,Misfit,25,,,,,
1926,"Jeffries, Dr.",25,,,,,
1927,"Cooper, Roger Caps",25,,,,,
1928,Slab,25,,,,,
1929,Infectia,25,Secret,Bad,Female,Deceased,1988.0
1930,"Medina, Analisa Mari",25,,,,,
1931,Iceman Doppelganger,25,,,,,
1932,Taurus Ii,25,,,,,
1933,Killraven,25,,,,,
1934,Foolkiller Ii,25,,,,,
1935,"Temple, Claire",25,,,,,
1936,"Magnum, Moses",24,,,,,
1937,Dark Mother,24,,,,,
1938,"Bergier, Rebecca",24,,,,,
1939,Prometheus [Olympian,24,,,,,
1940,Ever,24,Secret,Bad,Male,Living,1995.0
1941,"Frost, Carmilla",24,,,,,
1942,Every-Man,24,,,,,
1943,Professor X Doppelga,24,,,,,
1944,Prodigal,24,Secret,Neutral,Male,Living,1992.0
1945,Abomination | Mutant,24,,,,,
1946,Kuroko,24,,,,,
1947,Mutaurus,24,Public,Bad,Male,Deceased,1967.0
1948,Doomsday Man,24,Secret,Bad,Male,Living,1970.0
1949,Sayge,24,,Neutral,,Living,1967.0
1950,"Lei Kung, The Thunde",24,,,,,
1951,"Marceaux, Theoren",24,,,,,
1952,Templar,24,,,,,
1953,Falcona [Inhuman],24,,,,,
1954,Cataphrax,24,Secret,Bad,Male,Living,1985.0
1955,"Patrick, Kerry",24,,,,,
1956,Ancient One,24,,,,,
1957,Moonboy,24,,,,,
1958,Brute,24,Secret,,Male,Deceased,1990.0
1959,"Bernstein, Dr. Noah",24,,,,,
1960,"Su, Dr. Ko Bin",24,,,,,
1961,Singer,24,Secret,Neutral,Female,Living,1995.0
1962,Jagrfelm [Asgardian],24,,,,,
1963,"Langstrom, Lieutenan",24,,,,,
1964,Rapunzel,24,Secret,Good,Female,Deceased,2000.0
1965,"Drake, Franklin",24,,,,,
1966,Machete,24,,Bad,Female,Living,2012.0
1967,"Dreyfuss, Rachel",24,,,,,
1968,Adva,24,Secret,,Female,Living,1998.0
1969,Boone,24,Secret,,Male,Living,1994.0
1970,Hauptmann England,24,,,,,
1971,Luminor,24,Secret,Bad,Male,Living,1994.0
1972,New Sun,24,,,,,
1973,"Snider, Det. Lou",24,,,,,
1974,Storm 2013,24,,,,,
1975,"Lapin, Emil",24,,,,,
1976,Avios,24,No Dual,Good,Male,Living,2000.0
1977,Razorfist Iii,24,,,,,
1978,Candra,24,Secret,Neutral,Female,Deceased,1993.0
1979,Gold,24,,Bad,,Living,1997.0
1980,Red Raven,24,Secret,Good,Male,Deceased,1940.0
1981,Red Raven Ii,24,,,,,
1982,Glub,24,Secret,Good,Male,Living,1999.0
1983,Nikki,24,,,,,
1984,"Laveau, Marie",24,,,,,
1985,Red Wolf,24,Public,Bad,Male,Deceased,1950.0
1986,Totem,24,Secret,Good,Female,Living,1999.0
1987,Archaeopteryx,24,,,,,
1988,Vagabond,24,,,,,
1989,Virako,24,Secret,Good,Male,Living,1978.0
1990,"Wade, Agent Joe",24,,,,,
1991,"Rivera, Dr. Jason",24,,,,,
1992,"Shire, Dr. Randall",24,,,,,
1993,"Colon, Cheryl",24,,,,,
1994,Osama,24,,,,,
1995,"Shinchuko, Lotus",24,,,,,
1996,"Dean, Susan",24,,,,,
1997,"Olson, Mrs.",24,,,,,
1998,Ch'Thon,24,,,,,
1999,"Hamid, Sheik",24,,,,,
2000,Skooka,24,,,,,
2001,Destructor,24,,,,,
2002,Blockade,24,,Neutral,,Living,1990.0
2003,Pagan,24,,Bad,Male,Living,1999.0
2004,"Heywerth, General",24,,,,,
2005,Kubik,24,Secret,Neutral,,Living,1988.0
2006,Spyne,24,,Bad,Male,Deceased,1994.0
2007,"Mcpherson, Ling",24,,,,,
2008,Valkyrie Iv,24,,,,,
2009,"Chalmers, Judge Robe",24,,,,,
2010,"Cera, Kay",24,,,,,
2011,Rocket Raccoon,24,No Dual,Good,Male,Living,1976.0
2012,Thor Iii Doppelgange,24,,,,,
2013,Blood Brothers,24,,Bad,Male,Living,1973.0
2014,"Fury, Nick | Mutant ",24,,,,,
2015,"Schoolcraft, Dr. Den",23,,,,,
2016,Roust,23,Secret,Neutral,Male,Living,1996.0
2017,Nebulo,23,Public,Bad,Male,Living,1968.0
2018,Lord Templar,23,,Bad,Male,Living,1999.0
2019,Orikal,23,Secret,Good,,Living,1967.0
2020,Smiling Tiger,23,,,,,
2021,Big Ben,23,,,,,
2022,Green Goblin | Mutan,23,,,,,
2023,Calypso,23,,,,,
2024,"Conoway, Sekmeht",23,,,,,
2025,"Masters, Dr. August",23,,,,,
2026,Beef,23,,,,,
2027,Askani,23,,,,,
2028,"Bailey, Sara Grey",23,,,,,
2029,Necrodamus,23,,,Male,Living,1972.0
2030,"Ladonna, Holly",23,,,,,
2031,"Muldoon, Sgt. Brian",23,,,,,
2032,Shatterfist,23,Secret,Bad,Male,Living,1991.0
2033,Tyrak,23,No Dual,Bad,Male,Living,1976.0
2034,"Maxwell, Morris",23,,,,,
2035,M'Reel,23,,Bad,Male,Living,1999.0
2036,"Ron, Talla",23,,,,,
2037,Anteus,23,Secret,Bad,Male,Deceased,2000.0
2038,Blunt,23,,Bad,Male,Living,2000.0
2039,Stinky,23,,Bad,Male,Living,1998.0
2040,Lunatik,23,Secret,,Male,Deceased,1995.0
2041,"Kincaid, Jimmy",23,,,,,
2042,Aentaros,23,,,Male,Living,2000.0
2043,Terraformer,23,Secret,,Male,Deceased,1991.0
2044,Manta,23,Public,Neutral,Female,Living,1980.0
2045,Hydron,23,No Dual,Bad,Male,Living,1974.0
2046,Hoder [Asgardian],23,,,,,
2047,Manslaughter,23,Secret,Bad,Male,Living,1984.0
2048,Deuce,23,Public,Good,Male,Living,1997.0
2049,Kid Reaper,23,,,,,
2050,Jason,23,Public,Good,Male,Living,
2051,"Snow, Charlie",23,,,,,
2052,"Haggert, Bob",23,,,,,
2053,Pirouette,23,,,,,
2054,"Parker, Peter | Time",23,,,,,
2055,Cybele [Eternal],23,,,,,
2056,Vakume,23,Secret,Good,Male,Living,1977.0
2057,"Ferrari, Connie",23,,,,,
2058,Cerebro,23,,,,Deceased,1998.0
2059,"Evans, Doris",23,,,,,
2060,Nova-Prime,23,,,,,
2061,Hairbag,23,,,,,
2062,"Wolfe, Hedy",23,,,,,
2063,"Parker, Richard",23,,,,,
2064,Jackhammer,23,,,,,
2065,Gentry,23,,,,,
2066,Bomblast,23,,,,,
2067,Set,23,Public,Bad,Male,Living,1971.0
2068,Namora,23,,,,,
2069,Fu Manchu,23,,,,,
2070,Torgo,23,No Dual,Neutral,Male,Living,1969.0
2071,Firebrand Ii,23,,,,,
2072,Master Mold,23,No Dual,Bad,Male,Deceased,1965.0
2073,Weapon X Iii,23,,,,,
2074,Guardsman,23,,,,,
2075,Highnote,23,,,,,
2076,"Andrews, Daryl Troop",23,,,,,
2077,Deadbolt,23,Secret,Bad,Male,Deceased,1994.0
2078,Sack,23,Secret,Bad,Male,Deceased,1995.0
2079,Krueger,23,Secret,Bad,Male,Living,2000.0
2080,Nardi,23,Secret,Bad,Male,Living,1996.0
2081,Cat Man,23,,,,,
2082,"Sun, Lin",23,,,,,
2083,Cybermancer,23,,,,,
2084,Cassiopeia,23,Secret,Good,Female,Living,1994.0
2085,Malan Sometimes Spel,23,,,,,
2086,Kilmer,22,Secret,,Male,Deceased,2000.0
2087,Moondancer,22,,,,,
2088,Bantam,22,,,,,
2089,Copper,22,,Bad,,Living,1997.0
2090,Crule,22,Secret,Bad,Male,Deceased,1992.0
2091,Hoarfrost,22,Secret,Bad,Male,Living,1999.0
2092,"Michel, Rafe",22,,,,,
2093,"Conan, Neal",22,,,,,
2094,Killian,22,Secret,Bad,Male,Living,2000.0
2095,"Hibbert, Hope",22,,,,,
2096,N'Dele,22,,,,,
2097,Hames,22,,,Male,Living,1998.0
2098,Absorbing Man | Muta,22,,,,,
2099,Shotgun Iii,22,,,,,
2100,"Baxter, Noah",22,,,,,
2101,"Krea, Bruno",22,,,,,
2102,Shriek,22,,,,,
2103,Mr. Fear Iii,22,,,,,
2104,Monmouth,22,,,,Living,2000.0
2105,"Smith, Kevin",22,,,,,
2106,Cobalt Man,22,,,,,
2107,Tuc,22,Secret,Bad,Male,Living,1995.0
2108,"Cord, Edwin",22,,,,,
2109,Deathunt 9000,22,Secret,Bad,Male,Living,1992.0
2110,"Brickford, Clay",22,,,,,
2111,Bloody Bess,22,Secret,Bad,Female,Living,2000.0
2112,War Toy,22,,,,,
2113,Tarantula Ii,22,,,,,
2114,Hurricane Iii,22,,,,,
2115,Death-Stalker,22,,Bad,Female,Living,2012.0
2116,Prosh,22,Secret,Good,,Living,1988.0
2117,Maltese,22,,,,,
2118,Tempest Ii,22,,,,,
2119,Old Skull,22,,,,,
2120,Dinu,22,Public,Neutral,Male,Living,1998.0
2121,Araki Ii,22,,,,,
2122,"Madison, Taylor",22,,,,,
2123,Demogoblin,22,Secret,Neutral,Male,Deceased,1989.0
2124,Warhead,22,Secret,Bad,Male,Deceased,2010.0
2125,Karnak Doppelganger,22,,,,,
2126,Sparrow,22,,,,,
2127,"Chalker, Prof. Vic",22,,,,,
2128,Sa'Tneen,22,,,,,
2129,Overboss Dixon,22,,,Male,Living,1997.0
2130,"Tarr, Black Jack",22,,,,,
2131,Ariel Ii,22,,,,,
2132,Thallium,22,,Bad,,Living,1997.0
2133,Star Thief Iii,22,,,,,
2134,Pandemonia,22,,Bad,Female,Living,1998.0
2135,Terminator Ii,22,,,,,
2136,Falzon,22,Public,Good,Male,Living,1976.0
2137,Foxfire,22,,,,,
2138,Astronomer,22,,,,,
2139,"Swann, Dr. Evan",22,,,,,
2140,Magnir,22,Secret,Bad,Male,Living,1967.0
2141,Pentigaar,22,Secret,Bad,Male,Living,2000.0
2142,Kath,22,,,,,
2143,"Stanford, Dwight Rol",22,,,,,
2144,"Ross, Courtney",22,,,,,
2145,Gorgon | Mutant X-Ve,22,,,,,
2146,Jawbreaker,22,,,,,
2147,Timmons,22,,,,,
2148,Titania,22,,,,,
2149,Fireballs,22,,,,,
2150,Jupiter,22,Public,Good,Female,Living,1990.0
2151,Gorgilla,22,Secret,Neutral,Male,Living,1960.0
2152,Jester Ii,22,,,,,
2153,"Chord, Miyami",22,,,,,
2154,Cerebro | Mutant-X V,22,,,,,
2155,Poltergeist,22,,,,,
2156,Maxov,22,Secret,Bad,Male,Living,1994.0
2157,Token,22,,,,Living,1995.0
2158,Taboo,22,Secret,Bad,Male,Living,1974.0
2159,"Roberts, Ted",22,,,,,
2160,Rambo,22,No Dual,Good,Male,Living,1991.0
2161,Horus [Egyptian God],22,,,,,
2162,Antro,22,,,,,
2163,"Stockbridge, Deanna",22,,,,,
2164,"Houston, Stella",22,,,,,
2165,Blackbird,22,,,,,
2166,Interloper,22,Secret,Good,Male,Living,1985.0
2167,"Gillispie, Andrew An",22,,,,,
2168,"Johnson, Anna",22,,,,,
2169,Madame Qwa,22,,,,,
2170,Lobo,22,No Dual,Good,Male,Living,1948.0
2171,Wall,22,,,,,
2172,"Edgerton, Mr.",22,,,,,
2173,Firefall Ii,22,,,,,
2174,Junction,22,Secret,Bad,Female,Deceased,2000.0
2175,Firefall Iv,22,,,,,
2176,Egma,22,,Neutral,Male,Living,1991.0
2177,Eson Ii,22,,,,,
2178,"Dillon, Bernie",21,,,,,
2179,"Suvorov, Admiral Gri",21,,,,,
2180,Switch,21,,,,,
2181,Arsenal,21,Secret,Bad,,Living,1978.0
2182,Mako,21,No Dual,Bad,Male,Living,1976.0
2183,Iron Fist | Mutant X,21,,,,,
2184,Iridia [Inhuman],21,,,,,
2185,Headcase,21,Secret,Good,Male,Living,1999.0
2186,"Nekobah, Roman",21,,,,,
2187,"Wei, Linda",21,,,,,
2188,Captain America Iv,21,,,,,
2189,Tygerstryke,21,,,,,
2190,Uni-Lord,21,,,,,
2191,Tyndar,21,Secret,Bad,Male,Living,1992.0
2192,Unbeing,21,Secret,Bad,,Living,1991.0
2193,"Storm, Johnny | Muta",21,,,,,
2194,Quill,21,Public,,Male,Living,1988.0
2195,Ape-X,21,,,,,
2196,Proctor,21,,,,,
2197,"Maclain, Dr. Myron",21,,,,,
2198,Answer,21,Secret,Bad,Male,Living,
2199,Kligger,21,,,,,
2200,"Cooper, Whitney Iii",21,,,,,
2201,M-Plate,21,Secret,Bad,Female,Living,1998.0
2202,M'Shulla,21,,,,,
2203,"Wilson, Louis",21,,,,,
